Cryptophragmus                           | Animal    | Porifera                   | -468100000    | -449500000   | Cryptophragmus
Cryptophyllus                            | Animal    | Arthropoda                 | -468100000    | -460900000   | <>
Ctenentoma                               | Animal    | Arthropoda                 | -468100000    | -463500000   | <>
Ctenodonta                               | Animal    | Mollusca                   | -468100000    | -452500000   | <>
Cullisonia                               | Animal    | Arthropoda                 | -485400000    | -468100000   | <>
Cuneamya                                 | Animal    | Mollusca                   | -470000000    | -443400000   | <>
Cuniculocystis                           | Animal    | Echinodermata              | -478600000    | -468100000   | <>
Cuparius                                 | Animal    | Brachiopoda                | -471800000    | -457500000   | <>
Cupulocrinus                             | Animal    | Echinodermata              | -470000000    | -458400000   | <>
Curtoceras                               | Animal    | Mollusca                   | -478600000    | -463500000   | Curtoceras
Curtognathus                             | Animal    | Chordata                   | -470000000    | -458400000   | Curtognathus
Cyathocystis                             | Animal    | Echinodermata              | -470000000    | -458400000   | <>
Cybele                                   | Animal    | Arthropoda                 | -468100000    | -463500000   | Cybele
Cybeloides                               | Animal    | Arthropoda                 | -468100000    | -449500000   | <>
Cybelopsis                               | Animal    | Arthropoda                 | -470000000    | -467300000   | Cybelopsis
Cybelurus                                | Animal    | Arthropoda                 | -468100000    | -460900000   | <>
Cyclendoceras                            | Animal    | Mollusca                   | -470000000    | -443400000   | <>
Cycloceras                               | Animal    | Mollusca                   | -470000000    | -443400000   | Cycloceras
Cyclonema                                | Animal    | Mollusca                   | -470000000    | -458400000   | Cyclonema
Cyclopyge                                | Animal    | Arthropoda                 | -471800000    | -468100000   | Cyclopyge
Cyclora                                  | Animal    | Mollusca                   | -468100000    | -460900000   | <>
Cyclostomiceras                          | Animal    | Mollusca                   | -478600000    | -466000000   | <>
Cymatonota                               | Animal    | Mollusca                   | -470000000    | -443400000   | <>
Cymbularia                               | Animal    | Mollusca                   | -468100000    | -463500000   | <>
Cyphotrypa                               | Animal    | Bryozoa                    | -470000000    | -458400000   | <>
Cypricardinia                            | Animal    | Mollusca                   | -478600000    | -466000000   | Cypricardinia
Cyptendoceras                            | Animal    | Mollusca                   | -478600000    | -463500000   | Cyptendoceras
Cyrbasiotreta                            | Animal    | Brachiopoda                | -472000000    | -466000000   | <>
Cyrtendoceras                            | Animal    | Mollusca                   | -478600000    | -466000000   | <>
Cyrtobaltoceras                          | Animal    | Mollusca                   | -478600000    | -468100000   | Cyrtobaltoceras
