Calamodendron                            | Plant     | Sphenophyta                | -323200000    | -298900000   | <>
Calamospora                              | Plant     | Sphenophyta                | -303400000    | -298900000   | <>
Calamostachys                            | Plant     | Sphenophyta                | -303400000    | -298900000   | <>
Calceolispongia                          | Animal    | Echinodermata              | -358900000    | -252170000   | Calceolispongia
Calcitornella                            | Micro     | Foraminifera               | -303400000    | -298900000   | <>
Calcivertella                            | Micro     | Foraminifera               | -303400000    | -298900000   | <>
Calliasterella                           | Animal    | Echinodermata              | -305900000    | -303400000   | <>
Calliprotonia                            | Animal    | Brachiopoda                | -303400000    | -298900000   | <>
Callipteris                              | Plant     | Peltaspermophyta           | -303400000    | -301200000   | Callipteris
Callispira                               | Animal    | Mollusca                   | -303400000    | -302200000   | <>
Callispirina                             | Animal    | Brachiopoda                | -303700000    | -298900000   | <>
Callistadia                              | Animal    | Mollusca                   | -303700000    | -298900000   | <>
Callistophyton                           | Plant     | Ginkgophyta                | -323200000    | -298900000   | <>
Callospiriferina                         | Animal    | Brachiopoda                | -323200000    | -298900000   | <>
Caloneura                                | Animal    | Arthropoda                 | -303700000    | -298900000   | <>
Calophyllum Polycoeliidae                 | Animal    | Cnidaria                   | -306950000    | -298900000   | <>
Camarophorina                            | Animal    | Brachiopoda                | -303400000    | -298900000   | <>
Camarotoechia                            | Animal    | Brachiopoda                | -358900000    | -298900000   | Camarotoechia
Camerisma                                | Animal    | Brachiopoda                | -303700000    | -298900000   | <>
Campodus                                 | Animal    | Chordata                   | -303700000    | -298900000   | Campodus
Campyloprion                             | Animal    | Chordata                   | -303700000    | -298900000   | <>
Campyloptera                             | Animal    | Arthropoda                 | -303700000    | -298900000   | <>
Cancrinella                              | Animal    | Brachiopoda                | -301200000    | -300200000   | <>
Candona                                  | Animal    | Arthropoda                 | -306950000    | -298900000   | Candona
Caninia                                  | Animal    | Cnidaria                   | -303400000    | -298900000   | Caninia_(coral)
Caninophyllum                            | Animal    | Cnidaria                   | -303700000    | -298900000   | <>
Capillomesolobus                         | Animal    | Brachiopoda                | -303700000    | -298900000   | <>
Carbonita                                | Animal    | Arthropoda                 | -303400000    | -298900000   | Carbonita
Carbonokata                              | Animal    | Arthropoda                 | -307000000    | -298900000   | <>
Carbonoschwagerina                       | Micro     | Foraminifera               | -303700000    | -298900000   | <>
Cardiarina                               | Animal    | Brachiopoda                | -303700000    | -298900000   | <>
Cardiella                                | Animal    | Mollusca                   | -303400000    | -298900000   | <>
Cardiomorpha                             | Animal    | Mollusca                   | -303400000    | -298900000   | <>
Cardioneura                              | Plant     | Tracheophyta               | -303700000    | -290100000   | <>
Cardiopteridium                          | Plant     | Pteridophyta               | -358900000    | -298900000   | <>
Carinanema                               | Animal    | Mollusca                   | -303400000    | -298900000   | <>
Carinostrobus                            | Plant     | Lycophyta                  | -358900000    | -298900000   | <>
Carinthiaphyllum                         | Animal    | Cnidaria                   | -306950000    | -298900000   | Carinthiaphyllum
Carpenteroptera                          | Animal    | Arthropoda                 | -303700000    | -298900000   | <>
Caulopteris                              | Plant     | Pteridophyta               | -323200000    | -298900000   | <>
Cavellina                                | Animal    | Arthropoda                 | -303400000    | -298900000   | <>
Cavernella                               | Animal    | Bryozoa                    | -303700000    | -298900000   | <>
Cavusgnathus                             | Animal    | Chordata                   | -305900000    | -303400000   | Cavusgnathus
Celox                                    | Animal    | Mollusca                   | -323200000    | -272300000   | Celox
Cenorhynchia                             | Animal    | Brachiopoda                | -303700000    | -298900000   | <>
Centrodus                                | Animal    | Chordata                   | -323200000    | -298900000   | <>
Ceriocrinus                              | Animal    | Echinodermata              | -305900000    | -303400000   | <>
Cerithioides                             | Animal    | Mollusca                   | -303400000    | -298900000   | <>
