Chlamys                                  | Animal    | Mollusca                   | -201300000    | -170300000   | Chlamys
Chomatoseris                             | Animal    | Cnidaria                   | -201300000    | -199300000   | <>
Chondrocoenia                            | Animal    | Cnidaria                   | -201300000    | -196500000   | <>
Chonetes                                 | Animal    | Brachiopoda                | -237000000    | -174100000   | Chonetes
Choristoceras                            | Animal    | Mollusca                   | -201300000    | -196500000   | <>
Chrysomelites                            | Animal    | Arthropoda                 | -201300000    | -196500000   | <>
Cicadellopsis                            | Animal    | Arthropoda                 | -201300000    | -190800000   | <>
Cicadocoris                              | Animal    | Arthropoda                 | -201300000    | -190800000   | <>
Cicadoprosbole                           | Animal    | Arthropoda                 | -201300000    | -190800000   | <>
Cicadopsyllidium                         | Animal    | Arthropoda                 | -201300000    | -190800000   | <>
Cidaris                                  | Animal    | Echinodermata              | -208500000    | -199300000   | Cidaris
Cincta                                   | Animal    | Brachiopoda                | -201300000    | -189600000   | Cincta
Cingulatisporites                        | Plant     | Pteridophyta               | -201300000    | -145000000   | <>
Cirpa                                    | Animal    | Brachiopoda                | -201300000    | -174100000   | <>
Cisnerospira                             | Animal    | Brachiopoda                | -201300000    | -189600000   | <>
Cistelites                               | Animal    | Arthropoda                 | -201300000    | -196500000   | <>
Cladophlebis                             | Plant     | Pteridophyta               | -201300000    | -145000000   | Cladophlebis
Classopollis                             | Plant     | Coniferophyta              | -208500000    | -174100000   | <>
Clathropteris                            | Plant     | Pteridophyta               | -201300000    | -163500000   | <>
Clevosaurus                              | Animal    | Chordata                   | -201300000    | -190800000   | Clevosaurus
Coelastarte                              | Animal    | Mollusca                   | -201300000    | -199300000   | <>
Coeloceras                               | Animal    | Mollusca                   | -201300000    | -163500000   | <>
Coelodiscus                              | Animal    | Mollusca                   | -201300000    | -199300000   | Coelodiscus
Coelophysis                              | Animal    | Chordata                   | -201300000    | -190800000   | Coelophysis
Coelopus                                 | Animal    | Arthropoda                 | -201300000    | -145000000   | Coelopus
Coelostylina                             | Animal    | Mollusca                   | -201300000    | -163500000   | <>
Coelurosaurichnus                        | Animal    | Chordata                   | -208500000    | -196500000   | Coelurosaurichnus
Coleia                                   | Animal    | Arthropoda                 | -201300000    | -145000000   | Coleia
Coleopterites                            | Animal    | Arthropoda                 | -201300000    | -199300000   | <>
Coleopteron                              | Animal    | Arthropoda                 | -201300000    | -163500000   | <>
Colpomphalus                             | Animal    | Mollusca                   | -201300000    | -189600000   | <>
Colymbetopsis                            | Animal    | Arthropoda                 | -201300000    | -196500000   | <>
Coniopteris                              | Plant     | Pteridophyta               | -201300000    | -163500000   | Coniopteris
Conites                                  | Plant     | Cycadeoideophyta           | -201300000    | -174100000   | <>
Coptothyris                              | Animal    | Brachiopoda                | -201300000    | -145000000   | Coptothyris
Corbicula                                | Animal    | Mollusca                   | -201300000    | -170300000   | Corbicula
Corbula                                  | Animal    | Mollusca                   | -201300000    | -170300000   | Corbula
Coroniceras                              | Animal    | Mollusca                   | -201300000    | -189600000   | Coroniceras
Coronipora                               | Micro     | Foraminifera               | -201300000    | -190800000   | <>
Corum                                    | Micro     | Radiolaria                 | -247200000    | -174100000   | Corum
Corvipes                                 | Animal    | Chordata                   | -201300000    | -190800000   | Corvipes
Costigervillia                           | Animal    | Mollusca                   | -201300000    | -145000000   | <>
Cotylederma                              | Animal    | Echinodermata              | -201300000    | -182700000   | <>
Couvelardicidaris                        | Animal    | Echinodermata              | -201300000    | -196500000   | <>
Cracensigillatus                         | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Crassadoma                               | Animal    | Mollusca                   | -201300000    | -174100000   | Crassadoma
Crenipecten                              | Animal    | Mollusca                   | -237000000    | -174100000   | <>
