Diplograptus                             | Animal    | Hemichordata               | -443400000    | -419200000   | Diplograptus
Diplophyllum                             | Animal    | Cnidaria                   | -443400000    | -433400000   | Diplophyllum
Diplotrypa                               | Animal    | Bryozoa                    | -443400000    | -419200000   | <>
Discinocaris                             | Animal    | Arthropoda                 | -443400000    | -419200000   | <>
Discosorus                               | Animal    | Mollusca                   | -443400000    | -433400000   | Discosorus
Disphyllum                               | Animal    | Cnidaria                   | -443400000    | -419200000   | <>
Distomodus                               | Animal    | Chordata                   | -443400000    | -419200000   | Distomodus
Distyrax                                 | Animal    | Arthropoda                 | -443400000    | -433400000   | Distyrax
Ditoecholasma                            | Animal    | Cnidaria                   | -443400000    | -419200000   | <>
Diversograptus                           | Animal    | Hemichordata               | -443400000    | -419200000   | <>
Dizygopleura                             | Animal    | Arthropoda                 | -443400000    | -419200000   | <>
Dolerorthis                              | Animal    | Brachiopoda                | -443400000    | -419200000   | Dolerorthis
Donacophyllum                            | Animal    | Cnidaria                   | -443400000    | -440800000   | <>
Douvillina                               | Animal    | Brachiopoda                | -443400000    | -433400000   | <>
Drepanellina                             | Animal    | Arthropoda                 | -443400000    | -423000000   | <>
Drepanodus                               | Animal    | Chordata                   | -443400000    | -419200000   | <>
Drepanoistodus                           | Animal    | Chordata                   | -443400000    | -419200000   | <>
Drepanopterus                            | Animal    | Arthropoda                 | -443400000    | -433400000   | Drepanopterus
Dudleyaspis                              | Animal    | Arthropoda                 | -443400000    | -419200000   | <>
Duncanella                               | Animal    | Cnidaria                   | -443400000    | -419200000   | <>
Ecclimadictyon                           | Animal    | Porifera                   | -443400000    | -433400000   | <>
Edenoceras                               | Animal    | Mollusca                   | -443400000    | -433400000   | <>
