Cyrtoproetus                             | Animal    | Arthropoda                 | -353800000    | -345300000   | <>
Cyrtospirifer                            | Animal    | Brachiopoda                | -358900000    | -323200000   | Cyrtospirifer
Cyrtosymbole                             | Animal    | Arthropoda                 | -353800000    | -345000000   | <>
Cystelasma                               | Animal    | Cnidaria                   | -358900000    | -342800000   | <>
Cystodactylon                            | Animal    | Cnidaria                   | -358900000    | -353800000   | <>
Cystodictya                              | Animal    | Bryozoa                    | -353800000    | -342800000   | Cystodictya
Cythere                                  | Animal    | Arthropoda                 | -353800000    | -342800000   | <>
Cytherella                               | Animal    | Arthropoda                 | -353800000    | -342800000   | Cytherella
Dactylotheca                             | Plant     | Pteridophyta               | -358900000    | -323200000   | <>
Dainella                                 | Micro     | Foraminifera               | -358900000    | -330900000   | <>
Dalmanella                               | Animal    | Brachiopoda                | -372200000    | -346700000   | <>
Damocles                                 | Animal    | Chordata                   | -358900000    | -323200000   | Damocles
Danaeides                                | Plant     | Pteridophyta               | -358900000    | -252170000   | <>
Decadocrinus                             | Animal    | Echinodermata              | -353800000    | -342800000   | Decadocrinus
Dechenelloides                           | Animal    | Arthropoda                 | -358900000    | -353800000   | <>
Declinognathodus                         | Animal    | Chordata                   | -358900000    | -298900000   | Declinognathodus
Delatitia                                | Animal    | Chordata                   | -358900000    | -346700000   | <>
Delepinea                                | Animal    | Brachiopoda                | -358900000    | -346700000   | <>
Delepinella                              | Animal    | Cnidaria                   | -358900000    | -346700000   | <>
