Converrucosisporites                     | Plant     | Pteridophyta               | -237000000    | -201300000   | <>
Coptocampylodon                          | Animal    | Cnidaria                   | -208500000    | -201300000   | <>
Coptoclavia                              | Animal    | Arthropoda                 | -237000000    | -201300000   | <>
Corbula                                  | Animal    | Mollusca                   | -208500000    | -201300000   | Corbula
Coreanophyllum                           | Plant     | Cycadeoideophyta           | -237000000    | -201300000   | <>
Cornuspira                               | Micro     | Foraminifera               | -208500000    | -201300000   | <>
Cornutobairdia                           | Animal    | Arthropoda                 | -208500000    | -201300000   | <>
Coronipora                               | Micro     | Foraminifera               | -208500000    | -201300000   | <>
Corum                                    | Micro     | Radiolaria                 | -247200000    | -174100000   | Corum
Coryphyllia                              | Animal    | Cnidaria                   | -208500000    | -201300000   | <>
Coryphyllina                             | Animal    | Cnidaria                   | -208500000    | -201300000   | <>
Cosmonautilus                            | Animal    | Mollusca                   | -252170000    | -201300000   | Cosmonautilus
Costamorpha                              | Animal    | Porifera                   | -208500000    | -201300000   | <>
Costatoria                               | Animal    | Mollusca                   | -208500000    | -201300000   | <>
Costifera                                | Micro     | Foraminifera               | -208500000    | -201300000   | <>
Costirhynchia                            | Animal    | Brachiopoda                | -208500000    | -201300000   | <>
Costirhynchopsis                         | Animal    | Brachiopoda                | -237000000    | -201300000   | <>
Covracythere                             | Animal    | Arthropoda                 | -212000000    | -205600000   | <>
