Coenaphrodia                             | Animal    | Cnidaria                   | -346700000    | -330900000   | <>
Coenocystis                              | Animal    | Echinodermata              | -353800000    | -345300000   | Coenocystis
Coledium                                 | Animal    | Brachiopoda                | -336000000    | -326400000   | <>
Colpites                                 | Animal    | Mollusca                   | -336000000    | -326400000   | <>
Colpodexylon                             | Plant     | Lycopodophyta              | -358900000    | -323200000   | <>
Composita                                | Animal    | Brachiopoda                | -336000000    | -318100000   | Composita
Compsaster                               | Animal    | Echinodermata              | -339400000    | -318100000   | <>
Compsonema                               | Animal    | Mollusca                   | -339400000    | -326400000   | <>
Comuquia                                 | Animal    | Brachiopoda                | -346700000    | -330900000   | <>
Conocardium                              | Animal    | Mollusca                   | -336000000    | -326400000   | Conocardium
Consobrinella                            | Animal    | Mollusca                   | -342800000    | -336000000   | <>
Conularia                                | Animal    | Cnidaria                   | -336000000    | -326400000   | <>
Converrucosisporites                     | Plant     | Pteridophyta               | -358900000    | -252170000   | <>
