Bolbocephalus                            | Animal    | Arthropoda                 | -471800000    | -457500000   | Bolbocephalus
Bolbochasmops                            | Animal    | Arthropoda                 | -460900000    | -449500000   | Bolbochasmops
Bolbopisthia                             | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Bolboporites                             | Animal    | Echinodermata              | -466000000    | -457500000   | Bolboporites
Bollia                                   | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Boreadorthis                             | Animal    | Brachiopoda                | -460900000    | -449500000   | <>
Borealaspis                              | Animal    | Arthropoda                 | -460900000    | -449500000   | Borealaspis
Borua                                    | Animal    | Brachiopoda                | -472000000    | -466000000   | <>
Botellusoceras                           | Animal    | Mollusca                   | -471800000    | -466000000   | <>
Bothriocidaris                           | Animal    | Echinodermata              | -460900000    | -449500000   | Bothriocidaris
Botrioides                               | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Boucotspira                              | Animal    | Mollusca                   | -460900000    | -449500000   | <>
Bowanorthis                              | Animal    | Brachiopoda                | -460900000    | -449500000   | <>
Brachaktassia                            | Animal    | Brachiopoda                | -466000000    | -449500000   | <>
Brachiospongia                           | Animal    | Porifera                   | -460900000    | -449500000   | <>
Brachyaspis                              | Animal    | Arthropoda                 | -460900000    | -443700000   | <>
Brachymimulus                            | Animal    | Brachiopoda                | -460900000    | -443700000   | <>
Brachytomaria                            | Animal    | Mollusca                   | -460900000    | -449500000   | <>
Brandysia                                | Animal    | Brachiopoda                | -466000000    | -460900000   | <>
Branisaspis                              | Animal    | Arthropoda                 | -478600000    | -466000000   | <>
Braulioceras                             | Animal    | Mollusca                   | -467300000    | -458400000   | Braulioceras
Brechmocrinus                            | Animal    | Echinodermata              | -471800000    | -457500000   | <>
Brephocharieis                           | Animal    | Arthropoda                 | -466000000    | -460900000   | <>
Brevibolbina                             | Animal    | Arthropoda                 | -460900000    | -455800000   | <>
Brevicirrus                              | Animal    | Porifera                   | -466000000    | -460900000   | <>
Briartina                                | Animal    | Arthropoda                 | -470000000    | -458400000   | <>
Broeggeria                               | Animal    | Brachiopoda                | -466000000    | -460900000   | <>
Broeggeroceras                           | Animal    | Mollusca                   | -460900000    | -452000000   | <>
Broeggerolithus                          | Animal    | Arthropoda                 | -460900000    | -455800000   | <>
Bromidechinus                            | Animal    | Echinodermata              | -460900000    | -449500000   | <>
Bromidella                               | Animal    | Arthropoda                 | -460900000    | -449500000   | <>
Bromidocrinus                            | Animal    | Echinodermata              | -460900000    | -449500000   | <>
