Angulogerina                             | Micro     | Foraminifera               | -23030000     | -15970000    | <>
Angulus                                  | Animal    | Mollusca                   | -20440000     | -13820000    | Angulus
Angustictis                              | Animal    | Chordata                   | -22400000     | -20000000    | <>
Angustidens                              | Animal    | Chordata                   | -20430000     | -15970000    | Angustidens
Anhinga                                  | Animal    | Chordata                   | -20430000     | -15970000    | Anhinga
Anilioides                               | Animal    | Chordata                   | -20430000     | -15970000    | <>
Anisaster                                | Animal    | Echinodermata              | -30800000     | -20430000    | <>
Anisepyris                               | Animal    | Arthropoda                 | -20440000     | -13820000    | <>
Anisocoenia                              | Animal    | Cnidaria                   | -20440000     | -15970000    | <>
Anisodactylus                            | Animal    | Arthropoda                 | -20440000     | -15970000    | Anisodactylus
Anisodon                                 | Animal    | Chordata                   | -20440000     | -7246000     | Anisodon
Anisodonta                               | Animal    | Mollusca                   | -20440000     | -15970000    | <>
Anisolornis                              | Animal    | Chordata                   | -17500000     | -16300000    | <>
Anisospinos                              | Animal    | Arthropoda                 | -23030000     | -5333000     | <>
Ankonetta                                | Animal    | Chordata                   | -23030000     | -15970000    | Ankonetta
Ankylorhiza                              | Animal    | Chordata                   | -23030000     | -13820000    | Ankylorhiza
Anlemmus                                 | Animal    | Arthropoda                 | -20440000     | -13820000    | <>
Annachlamys                              | Animal    | Mollusca                   | -20440000     | -13820000    | Annachlamys
Annellus                                 | Plant     | Ochrophyta                 | -23030000     | -13820000    | <>
Annulites                                | Plant     | Angiospermae               | -23030000     | -15970000    | <>
Anoblepsis                               | Animal    | Arthropoda                 | -20440000     | -13820000    | <>
Anochetus                                | Animal    | Arthropoda                 | -20440000     | -13820000    | Anochetus
Anodontia                                | Animal    | Mollusca                   | -20440000     | -13820000    | Anodontia
Anolis                                   | Animal    | Chordata                   | -20430000     | -15970000    | Anolis
Anomala                                  | Animal    | Arthropoda                 | -20440000     | -15970000    | Anomala
Anomalina                                | Micro     | Foraminifera               | -19000000     | -15900000    | <>
Anomalinella                             | Micro     | Foraminifera               | -23030000     | -15970000    | <>
Anomalinoides                            | Micro     | Foraminifera               | -19000000     | -15900000    | <>
Anomalocardia                            | Animal    | Mollusca                   | -20440000     | -15970000    | Anomalocardia
Anomalomys                               | Animal    | Chordata                   | -16900000     | -15970000    | <>
Anomia                                   | Animal    | Mollusca                   | -19000000     | -15900000    | Anomia
Anomocora                                | Animal    | Cnidaria                   | -20440000     | -15970000    | Anomocora
Anomotodon                               | Animal    | Chordata                   | -23030000     | -15970000    | Anomotodon
Anonaspermum                             | Plant     | Spermatophyta              | -23030000     | -15970000    | <>
Anopheles                                | Animal    | Arthropoda                 | -20440000     | -13820000    | Anopheles
Anoplius                                 | Animal    | Arthropoda                 | -20440000     | -13820000    | Anoplius
Anoplodera                               | Animal    | Arthropoda                 | -20440000     | -15970000    | Anoplodera
Anoplonassa                              | Animal    | Chordata                   | -23030000     | -13820000    | <>
Anoplotermes                             | Animal    | Arthropoda                 | -20440000     | -13820000    | <>
Anoteropora                              | Animal    | Bryozoa                    | -20440000     | -15970000    | <>
Anotodus                                 | Animal    | Chordata                   | -20440000     | -15970000    | <>
Anoxypristis                             | Animal    | Chordata                   | -20440000     | -15970000    | Anoxypristis
Ansomys                                  | Animal    | Chordata                   | -20000000     | -16900000    | <>
Antalis                                  | Animal    | Mollusca                   | -20440000     | -15970000    | Antalis
Antarctidromia                           | Animal    | Arthropoda                 | -23030000     | -5333000     | <>
Antarctodarwinella                       | Animal    | Mollusca                   | -23030000     | -15970000    | <>
Antemus                                  | Animal    | Chordata                   | -23030000     | -5333000     | <>
Anthicus                                 | Animal    | Arthropoda                 | -23030000     | -15970000    | Anthicus
