Archaeopotamus                           | Animal    | Chordata                   | -23030000     | -2588000     | Archaeopotamus
Archaeospheniscus                        | Animal    | Chordata                   | -28400000     | -15970000    | Archaeospheniscus
Archaeotetraodon                         | Animal    | Chordata                   | -23030000     | -5333000     | <>
Archaeotherium                           | Animal    | Chordata                   | -23030000     | -15970000    | Archaeotherium
Archaeotypotherium                       | Animal    | Chordata                   | -29000000     | -21000000    | <>
Archaeus                                 | Animal    | Chordata                   | -33900000     | -5333000     | Archaeus
Archaeutatus                             | Animal    | Chordata                   | -29000000     | -21000000    | <>
Archaias                                 | Micro     | Foraminifera               | -23030000     | -15970000    | <>
Archierato                               | Animal    | Mollusca                   | -21700000     | -19000000    | <>
Archimediella                            | Animal    | Mollusca                   | -23030000     | -15970000    | Archimediella
Archipsocopsis                           | Animal    | Arthropoda                 | -23030000     | -15970000    | <>
Archipsocus                              | Animal    | Arthropoda                 | -23030000     | -15970000    | Archipsocus
Architectonica                           | Animal    | Mollusca                   | -23030000     | -15970000    | Architectonica
Archivesica                              | Animal    | Mollusca                   | -23030000     | -15970000    | <>
Arcinella                                | Animal    | Mollusca                   | -23030000     | -15970000    | Arcinella
Arcopagia                                | Animal    | Mollusca                   | -23030000     | -20440000    | <>
Arcopsis                                 | Animal    | Mollusca                   | -23030000     | -15970000    | <>
Arctica                                  | Animal    | Mollusca                   | -23030000     | -15970000    | Arctica_(bivalve)
Arctodictis                              | Animal    | Chordata                   | -21000000     | -17500000    | <>
Arctomyoides                             | Animal    | Chordata                   | -23030000     | -5333000     | <>
Arctostaphylos                           | Plant     | Spermatophyta              | -33900000     | -5333000     | Arctostaphylos
Ardenna                                  | Animal    | Chordata                   | -23030000     | -13820000    | Ardenna
