Bathycyathus                             | Animal    | Cnidaria                   | -59200000     | -56000000    | Bathycyathus
Bathylasma                               | Animal    | Arthropoda                 | -59200000     | -56000000    | <>
Bathysiphon                              | Micro     | Foraminifera               | -59200000     | -56000000    | <>
Bathytoma                                | Animal    | Mollusca                   | -59200000     | -56000000    | Bathytoma
Bathytormus                              | Animal    | Mollusca                   | -58700000     | -55800000    | <>
Batillaria                               | Animal    | Mollusca                   | -58700000     | -55800000    | Batillaria
Batissa                                  | Animal    | Mollusca                   | -66000000     | -23030000    | <>
Bayanulanius                             | Animal    | Chordata                   | -58700000     | -55800000    | <>
Beaupreaidites                           | Plant     | Spermatophyta              | -100500000    | -5333000     | <>
Bekoma                                   | Micro     | Radiolaria                 | -58700000     | -55800000    | <>
Belonostomus                             | Animal    | Chordata                   | -61700000     | -56800000    | Belonostomus
Beloptera                                | Animal    | Mollusca                   | -66000000     | -56000000    | <>
Belzungia                                | Plant     | Chlorophyta                | -59200000     | -56000000    | <>
Bemalambda                               | Animal    | Chordata                   | -61700000     | -58700000    | <>
Benoistia                                | Animal    | Mollusca                   | -58700000     | -55800000    | Benoistia
Berchemia                                | Plant     | Spermatophyta              | -66000000     | -2588000     | Berchemia
Berenicea                                | Animal    | Bryozoa                    | -59200000     | -47800000    | <>
Bergqvistherium                          | Animal    | Chordata                   | -58700000     | -48600000    | <>
Berhamniphyllum                          | Plant     | Spermatophyta              | -66000000     | -33900000    | <>
Bernaya                                  | Animal    | Mollusca                   | -66000000     | -56000000    | Bernaya
Berruchelus                              | Animal    | Chordata                   | -58700000     | -55800000    | Berruchelus
Berrulestes                              | Animal    | Chordata                   | -59200000     | -56000000    | <>
Berruornis                               | Animal    | Chordata                   | -59200000     | -56000000    | Berruornis
Berruva                                  | Animal    | Chordata                   | -58700000     | -55800000    | <>
Berruvius                                | Animal    | Chordata                   | -59200000     | -56000000    | <>
Bessoecetor                              | Animal    | Chordata                   | -58700000     | -55800000    | <>
Betula                                   | Plant     | Spermatophyta              | -56800000     | -55800000    | Betula
Bicorbula                                | Animal    | Mollusca                   | -58700000     | -55800000    | <>
Biddulphia                               | Plant     | Ochrophyta                 | -66000000     | -56000000    | <>
Bignonia                                 | Plant     | Magnoliophyta              | -66000000     | -23030000    | Bignonia
Biloculina                               | Micro     | Foraminifera               | -58700000     | -48600000    | <>
Biplica                                  | Animal    | Mollusca                   | -61600000     | -56000000    | <>
Biretisporites                           | Plant     | Pteridophyta               | -59200000     | -56000000    | <>
Bisonalveus                              | Animal    | Chordata                   | -61700000     | -56800000    | Bisonalveus
Bithynia                                 | Animal    | Mollusca                   | -66000000     | -56000000    | Bithynia
Bittiscala                               | Animal    | Mollusca                   | -61600000     | -56000000    | <>
Bittium                                  | Animal    | Mollusca                   | -59200000     | -56000000    | Bittium
Blechnum                                 | Plant     | Pteridophyta               | -66000000     | -5333000     | Blechnum
Bobbschaefferia                          | Animal    | Chordata                   | -58700000     | -48600000    | <>
Boldia                                   | Micro     | Foraminifera               | -58700000     | -55800000    | <>
Bolivina                                 | Micro     | Foraminifera               | -58700000     | -55800000    | <>
Bombacacidites                           | Plant     | Spermatophyta              | -58700000     | -55800000    | <>
Bonellitia                               | Animal    | Mollusca                   | -59200000     | -47800000    | Bonellitia
Borealosuchus                            | Animal    | Chordata                   | -56800000     | -55800000    | Borealosuchus
Boreocomitas                             | Animal    | Mollusca                   | -61600000     | -56000000    | Boreocomitas
Bornia                                   | Animal    | Mollusca                   | -59200000     | -56000000    | <>
Borsonia                                 | Animal    | Mollusca                   | -59200000     | -56000000    | Borsonia
Botelloides                              | Animal    | Mollusca                   | -59200000     | -56000000    | Botelloides
Bothremys                                | Animal    | Chordata                   | -56800000     | -55800000    | Bothremys
Bothriostylops                           | Animal    | Chordata                   | -58700000     | -55800000    | <>
Bothrocorbula                            | Animal    | Mollusca                   | -66000000     | -58700000    | <>
Botrychium                               | Plant     | Pteridophyta               | -66000000     | -56000000    | Botrychium
Botryococcus                             | Plant     | Chlorophyta                | -100500000    | -33900000    | Botryococcus
Bottosaurus                              | Animal    | Chordata                   | -56800000     | -55800000    | Bottosaurus
Bouchardia                               | Animal    | Brachiopoda                | -59200000     | -47800000    | <>
Bourguetia                               | Animal    | Mollusca                   | -66000000     | -56000000    | <>
Bouryia                                  | Animal    | Mollusca                   | -59200000     | -56000000    | <>
Braarudosphaera                          | Plant     | Haptophyta                 | -58700000     | -55800000    | <>
Brachidontes                             | Animal    | Mollusca                   | -58700000     | -55800000    | Brachidontes
Brachiodontes                            | Animal    | Mollusca                   | -66000000     | -56000000    | <>
Brachycarcharias                         | Animal    | Chordata                   | -58700000     | -55800000    | <>
Brachycythere                            | Animal    | Arthropoda                 | -66000000     | -56000000    | <>
Brachysphingus                           | Animal    | Mollusca                   | -59200000     | -47800000    | <>
Branchioplax                             | Animal    | Arthropoda                 | -61600000     | -47800000    | Branchioplax
Brecanclawu                              | Animal    | Arthropoda                 | -66000000     | -23030000    | <>
Bretesuchus                              | Animal    | Chordata                   | -58700000     | -55800000    | Bretesuchus
Brevitricolpites                         | Plant     | Spermatophyta              | -58700000     | -55800000    | <>
Broeckella                               | Plant     | Chlorophyta                | -59200000     | -47800000    | <>
Broeckinella                             | Micro     | Foraminifera               | -59200000     | -56000000    | <>
Brotia                                   | Animal    | Mollusca                   | -66000000     | -58700000    | Brotia
Bruetia                                  | Animal    | Mollusca                   | -59200000     | -56000000    | <>
Brychaetus                               | Animal    | Chordata                   | -66000000     | -33900000    | Brychaetus
Budapanopeus                             | Animal    | Arthropoda                 | -66000000     | -23030000    | <>
Bulimina                                 | Micro     | Foraminifera               | -58700000     | -55800000    | Bulimina
Buliminella                              | Micro     | Foraminifera               | -58700000     | -55800000    | <>
Bulla                                    | Animal    | Mollusca                   | -66000000     | -56000000    | Bulla
Bullia                                   | Animal    | Mollusca                   | -59200000     | -56000000    | Bullia
Bullinella                               | Animal    | Mollusca                   | -66000000     | -56000000    | <>
Bullopora                                | Micro     | Foraminifera               | -66000000     | -56000000    | <>
Bumbanius                                | Animal    | Chordata                   | -58700000     | -55800000    | <>
Bumelia                                  | Plant     | Spermatophyta              | -66000000     | -2588000     | Bumelia
Bungarbia                                | Plant     | Pinophyta                  | -58700000     | -55800000    | <>
Buntonia                                 | Animal    | Arthropoda                 | -66000000     | -56000000    | <>
Burnhamia                                | Animal    | Chordata                   | -61600000     | -56000000    | Burnhamia
Buryella                                 | Micro     | Radiolaria                 | -59200000     | -56000000    | <>
Bustylus                                 | Animal    | Chordata                   | -59200000     | -56000000    | Bustylus
Bythinella                               | Animal    | Mollusca                   | -66000000     | -58700000    | Bythinella
Bythitidarum                             | Animal    | Chordata                   | -61600000     | -56000000    | <>
Bythocypris                              | Animal    | Arthropoda                 | -58700000     | -55800000    | <>
Caberea                                  | Animal    | Bryozoa                    | -66000000     | 2030         | <>
Cadosina                                 | Micro     | Ciliophora                 | -59200000     | -56000000    | <>
Cadulus                                  | Animal    | Mollusca                   | -58700000     | -55800000    | Cadulus
Caenoclavator                            | Plant     | Charophyta                 | -58700000     | -55800000    | <>
Caenolambda                              | Animal    | Chordata                   | -61700000     | -56800000    | <>
Caestocorbula                            | Animal    | Mollusca                   | -58700000     | -55800000    | Caestocorbula
Caganella                                | Animal    | Arthropoda                 | -58700000     | -55800000    | <>
Calamagras                               | Animal    | Chordata                   | -59200000     | -56000000    | <>
Calappa                                  | Animal    | Arthropoda                 | -66000000     | 2030         | Calappa
Calappilia                               | Animal    | Arthropoda                 | -59200000     | -56000000    | Calappilia
Calcardea                                | Animal    | Chordata                   | -56800000     | -55800000    | <>
Caleschara                               | Animal    | Bryozoa                    | -59200000     | -47800000    | <>
Callianassa                              | Animal    | Arthropoda                 | -59200000     | -56000000    | Callianassa
Callianopsis                             | Animal    | Arthropoda                 | -66000000     | -23030000    | <>
