Bdelloidina                              | Micro     | Foraminifera               | -11700        | -0           | <>
Bdeogale                                 | Animal    | Chordata                   | -11700        | -0           | Bdeogale
Beatragus                                | Animal    | Chordata                   | -2588000      | -0           | Beatragus
Belenois                                 | Animal    | Arthropoda                 | -11700        | -0           | Belenois
Bellamya                                 | Animal    | Mollusca                   | -11700        | -0           | Bellamya
Bellidilia                               | Animal    | Arthropoda                 | -11700        | -0           | <>
Belostoma                                | Animal    | Arthropoda                 | -11700        | -0           | Belostoma
Bembicium                                | Animal    | Mollusca                   | -11700        | -0           | Bembicium
Benthesicymus                            | Animal    | Arthropoda                 | -11700        | -0           | Benthesicymus
Berardius                                | Animal    | Chordata                   | -11700        | -0           | Berardius
Bermuteo                                 | Animal    | Chordata                   | -11700        | -0           | Bermuteo
Bernardina                               | Animal    | Mollusca                   | -2588000      | -0           | Bernardina
Betaeus                                  | Animal    | Arthropoda                 | -11700        | -0           | Betaeus
Bettongia                                | Animal    | Chordata                   | -11700        | -0           | Bettongia
Betula                                   | Plant     | Spermatophyta              | -11700        | -0           | Betula
Bibimys                                  | Animal    | Chordata                   | -11700        | -0           | Bibimys
Bicornucythere                           | Animal    | Arthropoda                 | -11700        | -0           | <>
Biffarius                                | Animal    | Arthropoda                 | -11700        | -0           | Biffarius
Biomphalaria                             | Animal    | Mollusca                   | -11700        | -0           | Biomphalaria
Bischofia                                | Plant     | Spermatophyta              | -11700        | -0           | Bischofia
Bison                                    | Animal    | Chordata                   | -11700        | -0           | Bison
Bithynia                                 | Animal    | Mollusca                   | -11700        | -0           | Bithynia
Bittiolum                                | Animal    | Mollusca                   | -11700        | -0           | Bittiolum
Bittium                                  | Animal    | Mollusca                   | -11700        | -0           | Bittium
Biziura                                  | Animal    | Chordata                   | -11700        | -0           | Biziura
Blarina                                  | Animal    | Chordata                   | -11700        | -0           | Blarina
Blastocerus                              | Animal    | Chordata                   | -11700        | -0           | Blastocerus
Blatta                                   | Animal    | Arthropoda                 | -11700        | -0           | Blatta
Blattella                                | Animal    | Arthropoda                 | -11700        | -0           | Blattella
Blechnum                                 | Plant     | Pteridophyta               | -11700        | -0           | Blechnum
Boa                                      | Animal    | Chordata                   | -11700        | -0           | Boa
Bodianus                                 | Animal    | Chordata                   | -340000       | -0           | Bodianus
Bolbocranius                             | Animal    | Arthropoda                 | -11700        | -0           | <>
Bolivina                                 | Micro     | Foraminifera               | -11700        | -0           | <>
Bolomys                                  | Animal    | Chordata                   | -11700        | -0           | Bolomys
Bombina                                  | Animal    | Chordata                   | -11700        | -0           | Bombina
