Conotoma                                 | Animal    | Mollusca                   | -443400000    | -422900000   | <>
Contortophyllum                          | Animal    | Cnidaria                   | -443400000    | -419200000   | <>
Contracheirurus                          | Animal    | Arthropoda                 | -443400000    | -427400000   | Contracheirurus
Conularia                                | Animal    | Cnidaria                   | -438500000    | -433400000   | <>
Cooksonia                                | Plant     | Psilophytophyta            | -443400000    | -419200000   | Cooksonia
Copenychia                               | Animal    | Mollusca                   | -438500000    | -433400000   | <>
Cordylodus                               | Animal    | Chordata                   | -443400000    | -419200000   | Cordylodus
Coremagraptus                            | Animal    | Hemichordata               | -440800000    | -433400000   | <>
Cornellites                              | Animal    | Mollusca                   | -438500000    | -433400000   | <>
Cornulites                               | Animal    | Lophotrochozoa             | -438500000    | -430500000   | Cornulites
Coronocephalus                           | Animal    | Arthropoda                 | -438500000    | -433400000   | Coronocephalus
Corrugopora                              | Animal    | Cnidaria                   | -438500000    | -427400000   | <>
Corvucrinus                              | Animal    | Echinodermata              | -438500000    | -433400000   | <>
Corynotrypa                              | Animal    | Bryozoa                    | -438500000    | -427400000   | <>
Coryssognathus                           | Animal    | Chordata                   | -438500000    | -430500000   | <>
Costaegera                               | Animal    | Arthropoda                 | -443400000    | -433400000   | <>
Costistricklandia                        | Animal    | Brachiopoda                | -438500000    | -427400000   | <>
Crania                                   | Animal    | Brachiopoda                | -438500000    | -433400000   | Crania_(brachiopod)
Craniops                                 | Animal    | Brachiopoda                | -438500000    | -427400000   | Craniops
Craspedobolbina                          | Animal    | Arthropoda                 | -438500000    | -430500000   | <>
Crassilasma                              | Animal    | Cnidaria                   | -438500000    | -433400000   | <>
Crassitestella                           | Animal    | Brachiopoda                | -443400000    | -433400000   | <>
Crateroceras                             | Animal    | Mollusca                   | -443400000    | -427400000   | <>
Craterophyllum                           | Animal    | Cnidaria                   | -443400000    | -419200000   | <>
Crepidosoma                              | Animal    | Echinodermata              | -438500000    | -433400000   | <>
Crepipora                                | Animal    | Bryozoa                    | -438500000    | -433400000   | Crepipora
Crinobrachiatus                          | Animal    | Echinodermata              | -443400000    | -427400000   | <>
Cromus                                   | Animal    | Arthropoda                 | -438500000    | -433400000   | Cromus
Crotalocrinites                          | Animal    | Echinodermata              | -438500000    | -433400000   | Crotalocrinites
Cryptograptus                            | Animal    | Hemichordata               | -443400000    | -427400000   | <>
Ctenobolbina                             | Animal    | Arthropoda                 | -438500000    | -433400000   | <>
Ctenodonta                               | Animal    | Mollusca                   | -438500000    | -430500000   | <>
Ctenognathodus                           | Animal    | Chordata                   | -449500000    | -427400000   | Ctenognathodus
Ctenopterus                              | Animal    | Arthropoda                 | -443400000    | -419200000   | Ctenopterus
Cuneamya                                 | Animal    | Mollusca                   | -438500000    | -433400000   | <>
Cupulocorona                             | Animal    | Echinodermata              | -438500000    | -427400000   | <>
Curriella                                | Animal    | Arthropoda                 | -443400000    | -433400000   | Curriella
Cyathactis                               | Animal    | Cnidaria                   | -438500000    | -433400000   | <>
Cyathochitina                            | Micro     | Sarcodina                  | -443400000    | -436000000   | Cyathochitina
Cyathocrinites                           | Animal    | Echinodermata              | -438500000    | -427400000   | Cyathocrinites
Cyathodictya                             | Animal    | Porifera                   | -443400000    | -419200000   | <>
Cyathophyllum                            | Animal    | Cnidaria                   | -438500000    | -427400000   | <>
Cybelecrinus                             | Animal    | Echinodermata              | -438500000    | -433400000   | <>
Cycloceras                               | Animal    | Mollusca                   | -443400000    | -427400000   | Cycloceras
Cyclocrinites                            | Plant     | Chlorophyta                | -438500000    | -433400000   | <>
Cyclocrinus                              | Animal    | Echinodermata              | -443400000    | -433400000   | <>
Cyclocyclicus                            | Animal    | Echinodermata              | -443400000    | -419200000   | <>
Cyclonema                                | Animal    | Mollusca                   | -438500000    | -427400000   | Cyclonema
Cyclora                                  | Animal    | Mollusca                   | -443400000    | -433400000   | <>
Cyclospira                               | Animal    | Brachiopoda                | -443400000    | -436000000   | <>
Cyclospongia                             | Animal    | Porifera                   | -443400000    | -422900000   | <>
Cyclotrypa                               | Animal    | Bryozoa                    | -443400000    | -419200000   | <>
Cymbidium                                | Animal    | Brachiopoda                | -443400000    | -419200000   | Cymbidium
Cymostrophia                             | Animal    | Brachiopoda                | -438500000    | -433400000   | <>
Cyphaspis                                | Animal    | Arthropoda                 | -443400000    | -433400000   | Cyphaspis
Cyphomenoidea                            | Animal    | Brachiopoda                | -438500000    | -430500000   | <>
Cyphoproetus                             | Animal    | Arthropoda                 | -438500000    | -433400000   | <>
Cyphotrypa                               | Animal    | Bryozoa                    | -438500000    | -433400000   | <>
Cypricardinia                            | Animal    | Mollusca                   | -438500000    | -430500000   | Cypricardinia
Cyrtia                                   | Animal    | Brachiopoda                | -438500000    | -427400000   | <>
Cyrtina                                  | Animal    | Brachiopoda                | -443400000    | -433400000   | <>
Cyrtoceras                               | Animal    | Mollusca                   | -443400000    | -427400000   | Cyrtoceras
Cyrtodonta                               | Animal    | Mollusca                   | -438500000    | -430500000   | <>
Cyrtodontula                             | Animal    | Mollusca                   | -438500000    | -433400000   | <>
Cyrtograptus                             | Animal    | Hemichordata               | -438500000    | -433400000   | Cyrtograptus
Cyrtorizoceras                           | Animal    | Mollusca                   | -438500000    | -427400000   | <>
Cyrtospira                               | Animal    | Mollusca                   | -438500000    | -433400000   | <>
Cyrtostropha                             | Animal    | Mollusca                   | -438500000    | -433400000   | <>
Cystihalysites                           | Animal    | Cnidaria                   | -438500000    | -433400000   | <>
Cystiphorolites                          | Animal    | Cnidaria                   | -443400000    | -433400000   | <>
Cystiphyllum                             | Animal    | Cnidaria                   | -438500000    | -425600000   | <>
Cytherellina                             | Animal    | Arthropoda                 | -438500000    | -433400000   | <>
Cytocrinus                               | Animal    | Echinodermata              | -438500000    | -433400000   | <>
Dalarnepeltis                            | Animal    | Arthropoda                 | -438500000    | -433400000   | <>
Dalaspis                                 | Animal    | Arthropoda                 | -438500000    | -433400000   | <>
Daleiella                                | Animal    | Arthropoda                 | -438500000    | -433400000   | <>
Dalejina                                 | Animal    | Brachiopoda                | -438500000    | -427400000   | <>
Dalmanella                               | Animal    | Brachiopoda                | -438500000    | -427400000   | <>
Dalmanites                               | Animal    | Arthropoda                 | -438500000    | -427400000   | Dalmanites
Dalmanitina                              | Animal    | Arthropoda                 | -438500000    | -433400000   | Dalmanitina
Dalmanophyllum                           | Animal    | Cnidaria                   | -443400000    | -419200000   | <>
Dapsilodus                               | Animal    | Chordata                   | -438500000    | -430500000   | <>
Dasycladacea                             | Plant     | Chlorophyta                | -438500000    | -430500000   | Dasycladacea
Dawsonoceras                             | Animal    | Mollusca                   | -438500000    | -427400000   | <>
Dayongaspis                              | Animal    | Chordata                   | -438500000    | -433400000   | <>
Daytonia                                 | Animal    | Arthropoda                 | -440800000    | -433400000   | Daytonia
Dazhucrinus                              | Animal    | Echinodermata              | -438500000    | -433400000   | <>
Dceruska                                 | Animal    | Mollusca                   | -438500000    | -433400000   | <>
Decaschisma                              | Animal    | Echinodermata              | -438500000    | -427400000   | <>
Deceptrix                                | Animal    | Mollusca                   | -443400000    | -433400000   | <>
Decoriconus                              | Animal    | Chordata                   | -438500000    | -433400000   | <>
Decoroproetus                            | Animal    | Arthropoda                 | -438500000    | -433400000   | <>
Deiphon                                  | Animal    | Arthropoda                 | -438500000    | -433400000   | Deiphon
Delotaxis                                | Animal    | Chordata                   | -443400000    | -419200000   | <>
Delthyris                                | Animal    | Brachiopoda                | -438500000    | -430500000   | <>
Demirastrites                            | Animal    | Hemichordata               | -438500000    | -433400000   | <>
Denckmannites                            | Animal    | Arthropoda                 | -443400000    | -433400000   | Denckmannites
Dendrocrinus                             | Animal    | Echinodermata              | -438500000    | -433400000   | <>
Dendrograptus                            | Animal    | Hemichordata               | -440800000    | -433400000   | Dendrograptus
Densastroma                              | Animal    | Porifera                   | -438500000    | -433400000   | <>
Densiphyllum                             | Animal    | Cnidaria                   | -443400000    | -436000000   | <>
Dentilasma                               | Animal    | Cnidaria                   | -438500000    | -430500000   | <>
Desmidocrinus                            | Animal    | Echinodermata              | -438500000    | -433400000   | <>
Desmograptus                             | Animal    | Hemichordata               | -438500000    | -433400000   | <>
Desmostroma                              | Animal    | Porifera                   | -438500000    | -433400000   | <>
