Conocardium                              | Animal    | Mollusca                   | -295500000    | -290100000   | Conocardium
Conularia                                | Animal    | Cnidaria                   | -295500000    | -290100000   | <>
Converrucosisporites                     | Plant     | Pteridophyta               | -298900000    | -252170000   | <>
Convolutispora                           | Plant     | Pteridophyta               | -298900000    | -272500000   | <>
Cooleyella                               | Animal    | Chordata                   | -295500000    | -290100000   | <>
Coolkilella                              | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Coopericus                               | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Cordaites                                | Plant     | Pinophyta                  | -295500000    | -2.599e+08   | Cordaites
Cornigella                               | Animal    | Arthropoda                 | -295500000    | -290100000   | <>
Cornucarpus                              | Plant     | Gymnospermophyta           | -295500000    | -279300000   | <>
Cornwallatia                             | Animal    | Cnidaria                   | -296400000    | -268000000   | <>
Coronalosia                              | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Corrugopecten                            | Animal    | Mollusca                   | -295500000    | -290100000   | <>
Corynepteris                             | Plant     | Tracheophyta               | -298900000    | -272300000   | <>
Coscinium                                | Animal    | Bryozoa                    | -295500000    | -290100000   | Coscinium
Coscinotrypa                             | Animal    | Bryozoa                    | -295500000    | -290100000   | <>
Cosmetocrinus                            | Animal    | Echinodermata              | -295500000    | -290100000   | <>
Costatoaphanaia                          | Animal    | Mollusca                   | -295500000    | -290100000   | <>
Costatumulus                             | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Costiferina                              | Animal    | Brachiopoda                | -295500000    | -279300000   | <>
Costispinifera                           | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Cotylorhynchus                           | Animal    | Chordata                   | -303700000    | -290100000   | Cotylorhynchus
Crania                                   | Animal    | Brachiopoda                | -295500000    | -290100000   | Crania
Crassispirifer                           | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Cratispirifer                            | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Crenispirifer                            | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Cribroconcha                             | Animal    | Arthropoda                 | -295500000    | -290100000   | <>
Cricotus                                 | Animal    | Chordata                   | -295500000    | -279300000   | Cricotus
Crimites                                 | Animal    | Mollusca                   | -295500000    | -290100000   | <>
Crurithyris                              | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Cryptacanthia                            | Animal    | Brachiopoda                | -298900000    | -290100000   | <>
Ctenacanthus                             | Animal    | Chordata                   | -298900000    | -272300000   | Ctenacanthus
Ctenospondylus                           | Animal    | Chordata                   | -295500000    | -290100000   | Ctenospondylus
Cummingella                              | Animal    | Arthropoda                 | -293000000    | -290100000   | Cummingella
Cuniculinella                            | Micro     | Foraminifera               | -295500000    | -290100000   | <>
Cutleria                                 | Animal    | Chordata                   | -296400000    | -268000000   | Cutleria
Cyathocrinus                             | Animal    | Echinodermata              | -295500000    | -290100000   | Cyathocrinus
Cyathophyllum                            | Animal    | Cnidaria                   | -323200000    | -252170000   | <>
Cyathus                                  | Animal    | Arthropoda                 | -295500000    | -290100000   | Cyathus
Cycadopites                              | Plant     | Cycadophyta                | -298900000    | -252170000   | <>
Cycadospadix                             | Plant     | Cycadophyta                | -295500000    | -272300000   | <>
Cyclacantharia                           | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Cyclodendron                             | Plant     | Lycopodophyta              | -295500000    | -279300000   | Cyclodendron
Cyclolobus                               | Animal    | Mollusca                   | -298900000    | -252170000   | Cyclolobus
Cyclotrypa                               | Animal    | Bryozoa                    | -295500000    | -290100000   | <>
Cydonocrinus                             | Animal    | Echinodermata              | -295500000    | -290100000   | <>
Cylindritopsis                           | Animal    | Mollusca                   | -298900000    | -252170000   | <>
Cymbiocrinus                             | Animal    | Echinodermata              | -295500000    | -290100000   | <>
Cypricardinia                            | Animal    | Mollusca                   | -295500000    | -290100000   | Cypricardinia
Cyrolexis                                | Animal    | Brachiopoda                | -298900000    | -252170000   | <>
Cyrtella                                 | Animal    | Brachiopoda                | -295500000    | -290100000   | <>
Cyrtina                                  | Animal    | Brachiopoda                | -358900000    | -201300000   | <>
