Colobodus                                | Animal    | Chordata                   | -247200000    | -237000000   | Colobodus
Colospongia                              | Animal    | Porifera                   | -247200000    | -235000000   | <>
Colubrellopsis                           | Animal    | Mollusca                   | -247200000    | -221500000   | <>
Columbisculites                          | Animal    | Mollusca                   | -247200000    | -242000000   | <>
Columboceras                             | Animal    | Mollusca                   | -247200000    | -242000000   | <>
Complanicorona                           | Animal    | Chordata                   | -247200000    | -242000000   | <>
Conites                                  | Plant     | Cycadeoideophyta           | -247200000    | -237000000   | <>
Conophyllia                              | Animal    | Cnidaria                   | -247200000    | -242000000   | <>
Constrigymnites                          | Animal    | Mollusca                   | -247200000    | -242000000   | <>
Contectopalatus                          | Animal    | Chordata                   | -247200000    | -237000000   | Contectopalatus
Conularia                                | Animal    | Cnidaria                   | -247200000    | -237000000   | <>
Corbula                                  | Animal    | Mollusca                   | -247200000    | -242000000   | Corbula
Cornuspira                               | Micro     | Foraminifera               | -247200000    | -237000000   | <>
Cortinaticopsis                          | Animal    | Mollusca                   | -247200000    | -242000000   | <>
Corum                                    | Micro     | Radiolaria                 | -247200000    | -174100000   | <>
Cosmonautilus                            | Animal    | Mollusca                   | -252170000    | -201300000   | Cosmonautilus
Costatoria                               | Animal    | Mollusca                   | -247200000    | -237000000   | <>
Costigymnites                            | Animal    | Mollusca                   | -247200000    | -242000000   | Costigymnites
Costinorella                             | Animal    | Brachiopoda                | -247200000    | -242000000   | <>
Costirhynchopsis                         | Animal    | Brachiopoda                | -247200000    | -235000000   | <>
Crenilepis                               | Animal    | Chordata                   | -247200000    | -242000000   | Crenilepis
Cribrospongia                            | Animal    | Porifera                   | -247200000    | -242000000   | Cribrospongia
Cricodon                                 | Animal    | Chordata                   | -247200000    | -228000000   | Cricodon
Crittendenia                             | Animal    | Mollusca                   | -247200000    | -242000000   | <>
Cromptodon                               | Animal    | Chordata                   | -247200000    | -242000000   | Cromptodon
Cruratula                                | Animal    | Brachiopoda                | -247200000    | -242000000   | <>
Crurirhynchia                            | Animal    | Brachiopoda                | -247200000    | -242000000   | <>
Cryptocoelia                             | Animal    | Porifera                   | -247200000    | -242000000   | <>
Cryptonerita                             | Animal    | Mollusca                   | -247200000    | -242000000   | <>
Cryptostephanidium                       | Micro     | Radiolaria                 | -247200000    | -221500000   | <>
Ctenognathichthys                        | Animal    | Chordata                   | -247200000    | -242000000   | Ctenognathichthys
Cuccoceras                               | Animal    | Mollusca                   | -247200000    | -221500000   | <>
Cucullaea                                | Animal    | Mollusca                   | -247200000    | -237000000   | Cucullaea
Cultriopsis                              | Animal    | Mollusca                   | -247200000    | -242000000   | <>
Cuneumxylon                              | Plant     | Tracheophyta               | -247200000    | -237000000   | <>
Curionia                                 | Animal    | Mollusca                   | -247200000    | -242000000   | <>
Cyamodus                                 | Animal    | Chordata                   | -247200000    | -237000000   | Cyamodus
Cyathocoenia                             | Animal    | Cnidaria                   | -247200000    | -242000000   | <>
Cycadocarpidium                          | Plant     | Coniferophyta              | -252170000    | -242000000   | <>
Cycadopites                              | Plant     | Cycadophyta                | -247200000    | -242000000   | <>
Cyclogyra                                | Micro     | Foraminifera               | -252170000    | -201300000   | <>
Cyclotosaurus                            | Animal    | Chordata                   | -247200000    | -242000000   | Cyclotosaurus
Cymatosaurus                             | Animal    | Chordata                   | -247200000    | -237000000   | Cymatosaurus
Cymbospondylus                           | Animal    | Chordata                   | -247200000    | -237000000   | Cymbospondylus
Cynognathus                              | Animal    | Chordata                   | -247200000    | -237000000   | Cynognathus
Cypricardia                              | Animal    | Mollusca                   | -247200000    | -242000000   | <>
Cypridina                                | Animal    | Arthropoda                 | -247200000    | -237000000   | <>
Cyrtia                                   | Animal    | Brachiopoda                | -252170000    | -201300000   | <>
Cyrtina                                  | Animal    | Brachiopoda                | -247200000    | -237000000   | <>
Cytherellina                             | Animal    | Arthropoda                 | -247200000    | -242000000   | <>
Czekanowskia                             | Plant     | Ginkgophyta                | -247200000    | -237000000   | <>
Czekanowskites                           | Animal    | Mollusca                   | -247200000    | -242000000   | <>
