Glaphyraspis                             | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Glossopleura                             | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Glypharthrus                             | Animal    | Arthropoda                 | -497000000    | -485400000   | <>
Glyphaspis                               | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Glyptagnostus                            | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Glyptometopsis                           | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Gogia                                    | Animal    | Echinodermata              | -501000000    | -485400000   | Gogia
Golasaphus                               | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Granatodontus                            | Animal    | Chordata                   | -497000000    | -485400000   | <>
Grandagnostus                            | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Groenwallia                              | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Grosmorneus                              | Micro     | Radiolaria                 | -501000000    | -485400000   | <>
Guoleella                                | Animal    | Brachiopoda                | -497000000    | -485400000   | <>
Gymnagnostus                             | Animal    | Arthropoda                 | -497000000    | -485400000   | Gymnagnostus
Hadragnostus                             | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Hadrocephalites                          | Animal    | Arthropoda                 | -541000000    | -485400000   | <>
Halkieria                                | Animal    | Mollusca                   | -541000000    | -485400000   | Halkieria
Haniwa                                   | Animal    | Arthropoda                 | -498500000    | -485400000   | Haniwa
Haniwoides                               | Animal    | Arthropoda                 | -497000000    | -485400000   | <>
Hardyia                                  | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Hardyoides                               | Animal    | Arthropoda                 | -497000000    | -485400000   | <>
Harpidoides                              | Animal    | Arthropoda                 | -497000000    | -485400000   | <>
Hastagnostus                             | Animal    | Arthropoda                 | -501000000    | -485400000   | Hastagnostus
Hedinaspis                               | Animal    | Arthropoda                 | -494000000    | -485000000   | <>
Helcionella                              | Animal    | Mollusca                   | -501000000    | -485400000   | Helcionella
Helmersenia                              | Animal    | Brachiopoda                | -497000000    | -485400000   | <>
Hemithecella                             | Animal    | Mollusca                   | -501000000    | -485400000   | Hemithecella
Hermosella                               | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Hesslandona                              | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Heterocaryon                             | Animal    | Arthropoda                 | -498500000    | -485400000   | <>
Hexaconularia                            | Animal    | Cnidaria                   | -541000000    | -485400000   | <>
Highgatella                              | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Hirsutodontus                            | Animal    | Chordata                   | -497000000    | -485400000   | <>
Hispidodontus                            | Animal    | Chordata                   | -497000000    | -485400000   | <>
Holcacephalus                            | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Holmdalia                                | Animal    | Arthropoda                 | -501000000    | -485400000   | <>
Homagnostus                              | Animal    | Arthropoda                 | -494000000    | -485400000   | Homagnostus
Homotreta                                | Animal    | Brachiopoda                | -497000000    | -485400000   | <>
Housia                                   | Animal    | Arthropoda                 | -497000000    | -485400000   | <>
Huaiheceras                              | Animal    | Mollusca                   | -498500000    | -485400000   | Huaiheceras
