Alveopora                                 | Animal    | Cnidaria                   | -126000       | 2030         | Alveopora
Alysia                                    | Animal    | Arthropoda                 | -28100000     | 2030         | <>
Alytes                                    | Animal    | Chordata                   | -126000       | 2030         | Alytes
Amaea                                     | Animal    | Mollusca                   | -70600000     | 2030         | <>
Amalda                                    | Animal    | Mollusca                   | -126000       | 2030         | Amalda
Amara                                     | Animal    | Arthropoda                 | -126000       | 2030         | Amara
Amartus                                   | Animal    | Arthropoda                 | -37200000     | 2030         | Amartus
Amastigia                                 | Animal    | Bryozoa                    | -38000000     | 2030         | <>
Amathina                                  | Animal    | Mollusca                   | -23030000     | 2030         | Amathina
Amaurolithus                              | Plant     | Haptophyta                 | -7246000      | 2030         | <>
