Bardohymen                               | Animal    | Arthropoda                 | -279300000    | -272300000   | <>
Barmaleus                                | Animal    | Arthropoda                 | -279300000    | -272300000   | <>
Baschkirina                              | Animal    | Arthropoda                 | -279300000    | -268800000   | <>
Bashkyroleter                            | Animal    | Chordata                   | -272500000    | -265000000   | Bashkyroleter
Basslerella                              | Animal    | Arthropoda                 | -279300000    | -268800000   | <>
Bathyglyptus                             | Animal    | Chordata                   | -279300000    | -272300000   | Bathyglyptus
Bathymyonia                              | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Batostomella                             | Animal    | Bryozoa                    | -298900000    | -252170000   | <>
Batrachichnus                            | Animal    | Chordata                   | -290100000    | -259900000   | <>
Bayhaium                                 | Animal    | Cnidaria                   | -296400000    | -268000000   | <>
Baylea                                   | Animal    | Mollusca                   | -279300000    | -272300000   | <>
Beecheria                                | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Beijingoconularia                        | Animal    | Cnidaria                   | -279300000    | -272300000   | <>
Bekena                                   | Animal    | Arthropoda                 | -279300000    | -272300000   | <>
Belemnites                               | Animal    | Mollusca                   | -541000000    | -252170000   | Belemnites_(genus)
Bellaclathrus                            | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Bellerophon                              | Animal    | Mollusca                   | -279300000    | -272300000   | Bellerophon
Betaneospirifer                          | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Bethouxia                                | Animal    | Arthropoda                 | -279300000    | -272300000   | <>
Bevocastria                              | Micro     | Cyanobacteria              | -279300000    | -272300000   | <>
Biarmeaspira                             | Animal    | Mollusca                   | -279300000    | -272300000   | <>
Biarmica                                 | Animal    | Chordata                   | -279500000    | -268000000   | <>
Biarmiceras                              | Animal    | Mollusca                   | -279300000    | -272300000   | <>
Biarmohymen                              | Animal    | Arthropoda                 | -279300000    | -272300000   | <>
Biarmopteris                             | Plant     | Peltaspermophyta           | -279300000    | -272300000   | <>
Biarmosuchus                             | Animal    | Chordata                   | -279500000    | -268000000   | Biarmosuchus
Bicamella                                | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Bicarinella                              | Animal    | Mollusca                   | -279300000    | -272300000   | <>
Bicoelia                                 | Animal    | Porifera                   | -279300000    | -272300000   | <>
Bicorbis                                 | Animal    | Bryozoa                    | -279300000    | -272300000   | <>
Bicuerda                                 | Animal    | Mollusca                   | -279300000    | -272300000   | <>
Bigenerina                               | Micro     | Foraminifera               | -279300000    | -272300000   | <>
Bilotina                                 | Animal    | Brachiopoda                | -279500000    | -268000000   | <>
Bitaunioceras                            | Animal    | Mollusca                   | -279300000    | -272300000   | Bitaunioceras
Biwaella                                 | Micro     | Foraminifera               | -279300000    | -272300000   | <>
Bocharella                               | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Bolosaurus                               | Animal    | Chordata                   | -279300000    | -272300000   | Bolosaurus
Bolterpeton                              | Animal    | Chordata                   | -279300000    | -272300000   | Bolterpeton
Borestus                                 | Animal    | Mollusca                   | -279300000    | -272300000   | <>
Bothrophyllum                            | Animal    | Cnidaria                   | -298900000    | -252170000   | <>
Bothrostegium                            | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Botrychiopsis                            | Plant     | Pteridophyta               | -279300000    | -272300000   | Botrychiopsis
Botryococcus                             | Plant     | Chlorophyta                | -279300000    | -272300000   | Botryococcus
Boultonia                                | Micro     | Foraminifera               | -279300000    | -272300000   | <>
Bowmanites                               | Plant     | Equisetophyta              | -279300000    | -272300000   | <>
Brachydectes                             | Animal    | Chordata                   | -279300000    | -272300000   | Brachydectes
Brachydegma                              | Animal    | Chordata                   | -279300000    | -272300000   | <>
Brachymetopus                            | Animal    | Arthropoda                 | -279300000    | -272300000   | <>
Brachyphyllum                            | Plant     | Pinopsida                  | -290100000    | -272300000   | Brachyphyllum
Brachythyrina                            | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Brachythyris                             | Animal    | Brachiopoda                | -298900000    | -252170000   | <>
Bradyphyllum                             | Animal    | Cnidaria                   | -279300000    | -272300000   | <>
Bransonella                              | Animal    | Chordata                   | -279300000    | -272300000   | Bransonella
Bransonoceras                            | Animal    | Mollusca                   | -279300000    | -272300000   | <>
Brazilichthys                            | Animal    | Chordata                   | -279300000    | -272300000   | <>
Brochidium                               | Animal    | Mollusca                   | -279300000    | -272300000   | <>
Broiliellus                              | Animal    | Chordata                   | -279300000    | -272300000   | Broiliellus
Brongniartites                           | Plant     | Pteridospermophyta         | -279300000    | -272300000   | <>
Bruntonella                              | Animal    | Brachiopoda                | -298900000    | -272300000   | <>
Bruntonia                                | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Buekkella                                | Animal    | Arthropoda                 | -279300000    | -272300000   | <>
Buregia                                  | Animal    | Arthropoda                 | -279300000    | -272300000   | <>
Buxtonia                                 | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Bythocypris                              | Animal    | Arthropoda                 | -279300000    | -272300000   | <>
Byzantia                                 | Animal    | Mollusca                   | -279300000    | -272300000   | <>
Cacops                                   | Animal    | Chordata                   | -279300000    | -272300000   | Cacops
Calamites                                | Plant     | Sphenophyta                | -279300000    | -252170000   | Calamites
Calamospora                              | Plant     | Sphenophyta                | -272500000    | -252300000   | <>
Calamostachys                            | Plant     | Sphenophyta                | -298900000    | -272300000   | <>
Calceolispongia                          | Animal    | Echinodermata              | -279300000    | -272300000   | Calceolispongia
Calcitornella                            | Micro     | Foraminifera               | -279300000    | -265100000   | <>
Calcivertella                            | Micro     | Foraminifera               | -279300000    | -272300000   | <>
Callaiapsida                             | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Callietheira                             | Animal    | Arthropoda                 | -279300000    | -272300000   | <>
Calliprotonia                            | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Callipteris                              | Plant     | Peltaspermophyta           | -279300000    | -252170000   | Callipteris
Callispirina                             | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Callistadia                              | Animal    | Mollusca                   | -279300000    | -272300000   | <>
Callitomaria                             | Animal    | Mollusca                   | -279300000    | -272300000   | <>
Callytharrella                           | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Calophyllum Polycoeliidae                 | Animal    | Cnidaria                   | -279300000    | -272300000   | <>
Camarotoechia                            | Animal    | Brachiopoda                | -279300000    | -272300000   | Camarotoechia
Camerisma                                | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Cancellina                               | Micro     | Foraminifera               | -279300000    | -265100000   | <>
Cancrinella                              | Animal    | Brachiopoda                | -279300000    | -252170000   | <>
Cancrinelloides                          | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Caneyella                                | Animal    | Mollusca                   | -290100000    | -272300000   | <>
Caninia                                  | Animal    | Cnidaria                   | -296400000    | -268000000   | Caninia_(coral)
Canoptum                                 | Micro     | Radiolaria                 | -295500000    | -174100000   | <>
Capillaria                               | Animal    | Brachiopoda                | -279300000    | -272300000   | Capillaria
Capillomesolobus                         | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Capnodoce                                | Micro     | Radiolaria                 | -295500000    | -174100000   | <>
Captorhinikos                            | Animal    | Chordata                   | -279300000    | -272300000   | <>
Captorhinoides                           | Animal    | Chordata                   | -279300000    | -272300000   | <>
Captorhinus                              | Animal    | Chordata                   | -279300000    | -272300000   | Captorhinus
Capulus                                  | Animal    | Mollusca                   | -290100000    | -259900000   | Capulus
Carbonicola                              | Animal    | Mollusca                   | -290100000    | -272300000   | Carbonicola
Carcinophyllum                           | Animal    | Cnidaria                   | -290100000    | -272300000   | <>
Cardiella                                | Animal    | Mollusca                   | -279300000    | -272300000   | <>
Cardiocephalus                           | Animal    | Chordata                   | -279300000    | -272300000   | Cardiocephalus
Cardiomorpha                             | Animal    | Mollusca                   | -290100000    | -259900000   | <>
Carilya                                  | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Carinaknightina                          | Animal    | Arthropoda                 | -279300000    | -268800000   | <>
Carinthiaphyllum                         | Animal    | Cnidaria                   | -298900000    | -252170000   | Carinthiaphyllum
Carphites                                | Animal    | Porifera                   | -279300000    | -272300000   | <>
Cartorhium                               | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Casea                                    | Animal    | Chordata                   | -279300000    | -272300000   | Casea
Caseoides                                | Animal    | Chordata                   | -279300000    | -268800000   | Caseoides
Caseopsis                                | Animal    | Chordata                   | -279300000    | -268800000   | Caseopsis
Cassianoides                             | Animal    | Mollusca                   | -279300000    | -272300000   | <>
Cassiavellia                             | Animal    | Mollusca                   | -279300000    | -272300000   | Cassiavellia
Catenispongia                            | Animal    | Porifera                   | -279300000    | -272300000   | <>
Cauletella                               | Micro     | Radiolaria                 | -290100000    | -259900000   | <>
Cavalarva                                | Animal    | Arthropoda                 | -279300000    | -272300000   | <>
Cavellina                                | Animal    | Arthropoda                 | -279300000    | -272300000   | <>
Cedripites                               | Plant     | Gymnospermophyta           | -298900000    | -252170000   | <>
Celox                                    | Animal    | Mollusca                   | -323200000    | -272300000   | Celox
Cenorhynchia                             | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Ceratobairdia                            | Animal    | Arthropoda                 | -279300000    | -272300000   | <>
Ceraunocochlis                           | Animal    | Mollusca                   | -279300000    | -272300000   | <>
Chaeniorhynchus                          | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Chaetetes                                | Animal    | Porifera                   | -323200000    | -252170000   | Chaetetes
Chalaroschwagerina                       | Micro     | Foraminifera               | -279300000    | -265100000   | <>
Chansitheca                              | Plant     | Pteridophyta               | -279300000    | -272300000   | <>
Chaoiella                                | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Chaoina                                  | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Chauliochiton                            | Animal    | Mollusca                   | -279300000    | -272300000   | <>
Cheiropyge                               | Animal    | Arthropoda                 | -279300000    | -272300000   | <>
Chelichnus                               | Animal    | Chordata                   | -298900000    | -252170000   | Chelichnus
Cheliderpeton                            | Animal    | Chordata                   | -298900000    | -254000000   | Cheliderpeton
Chelononia                               | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Chelopterum                              | Animal    | Arthropoda                 | -279300000    | -272300000   | <>
Chelydosaurus                            | Animal    | Chordata                   | -298900000    | -254000000   | <>
Chenoprosopus                            | Animal    | Chordata                   | -296400000    | -268000000   | Chenoprosopus
Chihsiaphyllum                           | Animal    | Cnidaria                   | -279300000    | -272300000   | <>
Chilianshania                            | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Chilonyx                                 | Animal    | Chordata                   | -279300000    | -272300000   | Chilonyx
Chiropteris                              | Plant     | Cycadophyta                | -279300000    | -252170000   | Chiropteris
Chirotherium                             | Animal    | Chordata                   | -290100000    | -259900000   | Chirotherium
Choanodus                                | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Chondronia                               | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Chonetella                               | Animal    | Brachiopoda                | -303400000    | -268000000   | <>
Chonetes                                 | Animal    | Brachiopoda                | -279300000    | -272300000   | Chonetes
Chonetina                                | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Chonetinella                             | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Chonetinetes                             | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Chonosteges                              | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Choristitella                            | Animal    | Brachiopoda                | -306950000    | -272300000   | <>
Choristites                              | Animal    | Brachiopoda                | -279300000    | -272300000   | <>
Chusenella                               | Micro     | Foraminifera               | -279300000    | -265100000   | <>
Chuvashovia                              | Plant     | Chlorophyta                | -279300000    | -272300000   | <>
