Astraeofungia                            | Animal    | Cnidaria                   | -167700000    | -161200000   | <>
Astraraea                                | Animal    | Cnidaria                   | -161200000    | -152100000   | <>
Astrocoenia                              | Animal    | Cnidaria                   | -163500000    | -152100000   | <>
Astroporina                              | Animal    | Porifera                   | -161200000    | -150800000   | <>
Astrospongia                             | Animal    | Porifera                   | -161200000    | -155700000   | <>
Astrostylopsis                           | Animal    | Porifera                   | -161200000    | -152100000   | <>
Atalopegaster                            | Animal    | Echinodermata              | -163500000    | -145000000   | <>
Ataphrus                                 | Animal    | Mollusca                   | -161200000    | -155700000   | <>
Ataxioceras                              | Animal    | Mollusca                   | -161200000    | -155700000   | Ataxioceras
Atelostroma                              | Animal    | Porifera                   | -163500000    | -150800000   | <>
Athrotaxites                             | Plant     | Coniferophyta              | -163500000    | -100500000   | <>
Atopderma                                | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Atreta                                   | Animal    | Mollusca                   | -161200000    | -155700000   | <>
Aucellina                                | Animal    | Mollusca                   | -163500000    | -66000000    | <>
Aucklandirhynchia                        | Animal    | Brachiopoda                | -164700000    | -161200000   | <>
Audienusina                              | Micro     | Foraminifera               | -161200000    | -155700000   | <>
Aulacogastrinus                          | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Aulacomyella                             | Animal    | Mollusca                   | -161200000    | -150800000   | <>
Aulaconautilus                           | Animal    | Mollusca                   | -164700000    | -161200000   | <>
Aulacosphinctes                          | Animal    | Mollusca                   | -163500000    | -139800000   | Aulacosphinctes
Aulacostephanus                          | Animal    | Mollusca                   | -163500000    | -140200000   | Aulacostephanus
Aulacothyris                             | Animal    | Brachiopoda                | -161200000    | -155700000   | <>
Aulastraea                               | Animal    | Cnidaria                   | -163500000    | -152100000   | <>
Aulavescus                               | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Aulidontes                               | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Aulieezidium                             | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Auliella                                 | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Auliepterix                              | Animal    | Arthropoda                 | -166100000    | -157300000   | Auliepterix
Aulisca                                  | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Auliserphus                              | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Aulophyllia                              | Animal    | Cnidaria                   | -163500000    | -157300000   | <>
Auricularites                            | Animal    | Echinodermata              | -163500000    | -157300000   | <>
Aurornis                                 | Animal    | Chordata                   | -167700000    | -150800000   | Aurornis
Australoseris                            | Animal    | Cnidaria                   | -163500000    | -157300000   | <>
Austrocardilanx                          | Animal    | Mollusca                   | -161200000    | -153500000   | <>
Avicula                                  | Animal    | Mollusca                   | -161200000    | -150800000   | <>
Avonothyris                              | Animal    | Brachiopoda                | -163500000    | -157300000   | <>
Axiotubullina                            | Animal    | Porifera                   | -163500000    | -150800000   | <>
Axopodorhabdus                           | Plant     | Haptophyta                 | -161200000    | -155700000   | <>
Axosmilia                                | Animal    | Cnidaria                   | -161200000    | -150800000   | <>
Azorica                                  | Animal    | Porifera                   | -164700000    | -161200000   | <>
Baccispongia                             | Animal    | Porifera                   | -161200000    | -155700000   | <>
Bacharaboilus                            | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Bactroptyxis                             | Animal    | Mollusca                   | -164700000    | -161200000   | <>
Baiera                                   | Plant     | Ginkgophyta                | -161200000    | -155700000   | Baiera
Bairdia                                  | Animal    | Arthropoda                 | -161200000    | -155700000   | <>
Baisochrysa                              | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Baissoferus                              | Animal    | Arthropoda                 | -163500000    | -152100000   | <>
Bakevellia                               | Animal    | Mollusca                   | -163500000    | -157300000   | <>
Bakharia                                 | Animal    | Arthropoda                 | -166100000    | -152100000   | <>
Balanocidaris                            | Animal    | Echinodermata              | -163500000    | -145000000   | <>
Balanocrinus                             | Animal    | Echinodermata              | -161200000    | -155700000   | <>
Baleyopteryx                             | Animal    | Arthropoda                 | -163500000    | -157300000   | <>
Balmeisporites                           | Plant     | Pinophyta                  | -174100000    | -93500000    | <>
Bandellina                               | Animal    | Mollusca                   | -164700000    | -161200000   | <>
Baptanodon                               | Animal    | Chordata                   | -163500000    | -157300000   | Baptanodon
Barbatia                                 | Animal    | Mollusca                   | -161200000    | -155700000   | Barbatia
Barosaurus                               | Animal    | Chordata                   | -161200000    | -150800000   | Barosaurus
Barroisia                                | Animal    | Porifera                   | -161200000    | -150800000   | <>
Barthelticeras                           | Animal    | Mollusca                   | -161200000    | -155700000   | <>
Bashuchelys                              | Animal    | Chordata                   | -163500000    | -157300000   | Bashuchelys
Basinotopus                              | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Basiserphus                              | Animal    | Arthropoda                 | -166100000    | -157300000   | <>
Bathmosmilia                             | Animal    | Cnidaria                   | -167700000    | -161200000   | <>
Bathotheca                               | Animal    | Porifera                   | -161200000    | -155700000   | <>
Bathrotomaria                            | Animal    | Mollusca                   | -161200000    | -155700000   | <>
Batrachognathus                          | Animal    | Chordata                   | -163500000    | -152100000   | Batrachognathus
Batrachomimus                            | Animal    | Chordata                   | -163500000    | -152100000   | Batrachomimus
