Athene                                   | Animal    | Chordata                   | -3200000      | -2588000     | Athene_(bird)
Atherina                                 | Animal    | Chordata                   | -3600000      | -2588000     | Atherina
Atherinomorus                            | Animal    | Chordata                   | -5333000      | -2588000     | Atherinomorus
Atherinopsis                             | Animal    | Chordata                   | -3600000      | -2588000     | Atherinopsis
Athleta                                  | Animal    | Mollusca                   | -3600000      | -2588000     | Athleta
Atilax                                   | Animal    | Chordata                   | -3600000      | -2588000     | Atilax
Atlanta                                  | Animal    | Mollusca                   | -3600000      | -2588000     | Atlanta
Atlantoxerus                             | Animal    | Chordata                   | -23030000     | -2588000     | Atlantoxerus
Atrina                                   | Animal    | Mollusca                   | -3600000      | -11700       | Atrina
Attiliosa                                | Animal    | Mollusca                   | -3600000      | -2588000     | Attiliosa
Atys                                     | Animal    | Mollusca                   | -3600000      | -2588000     | Atys_(gastropod)
Auchenoceros                             | Animal    | Chordata                   | -5333000      | -2400000     | Auchenoceros
Auchenoglanis                            | Animal    | Chordata                   | -5333000      | -11700       | Auchenoglanis
Aulacomya                                | Animal    | Mollusca                   | -3600000      | -2588000     | Aulacomya
Auliscomys                               | Animal    | Chordata                   | -3600000      | -2588000     | Auliscomys
Australomussa                            | Animal    | Cnidaria                   | -5333000      | -2588000     | Australomussa
Australopithecus                         | Animal    | Chordata                   | -11620000     | -2588000     | Australopithecus
Austriumphis                             | Animal    | Mollusca                   | -3600000      | -2588000     | <>
Austroborus                              | Animal    | Mollusca                   | -3600000      | -2588000     | <>
Austrocallista                           | Animal    | Mollusca                   | -5333000      | -2588000     | <>
Austrochlamys                            | Animal    | Mollusca                   | -3600000      | -2588000     | <>
Austrocypraea                            | Animal    | Mollusca                   | -3600000      | -2588000     | <>
Austrofusus                              | Animal    | Mollusca                   | -3600000      | -2588000     | Austrofusus
Austrohelice                             | Animal    | Arthropoda                 | -3600000      | -2588000     | Austrohelice
Austrohinnites                           | Animal    | Mollusca                   | -7246000      | -2588000     | <>
