Boreosomus                               | Animal    | Chordata                   | -242000000    | -235000000   | Boreosomus
Boreotrachyceras                         | Animal    | Mollusca                   | -235000000    | -232000000   | <>
Borysthenia                              | Plant     | Coniferophyta              | -237000000    | -201300000   | Borysthenia
Bositra                                  | Animal    | Mollusca                   | -235000000    | -232000000   | <>
Bosiutrisauropus                         | Animal    | Chordata                   | -237000000    | -208500000   | Bosiutrisauropus
Botula                                   | Animal    | Mollusca                   | -235000000    | -232000000   | Botula
Boueina                                  | Plant     | Chlorophyta                | -237000000    | -228000000   | <>
Bourguetia                               | Animal    | Mollusca                   | -237000000    | -228000000   | <>
Brachychirotherium                       | Animal    | Chordata                   | -237000000    | -201300000   | <>
Brachyphyllum                            | Plant     | Coniferophyta              | -237000000    | -174100000   | Brachyphyllum
Brachyrhinodon                           | Animal    | Chordata                   | -237000000    | -208500000   | Brachyrhinodon
Braginastrum                             | Micro     | Radiolaria                 | -232000000    | -215560000   | <>
Braiesopora                              | Animal    | Bryozoa                    | -237000000    | -228000000   | <>
Brevisaurichthys                         | Animal    | Chordata                   | -242000000    | -235000000   | <>
Brochidium                               | Animal    | Mollusca                   | -235000000    | -232000000   | <>
Brotheotrachyceras                       | Animal    | Mollusca                   | -235000000    | -232000000   | <>
Buchites                                 | Animal    | Mollusca                   | -237000000    | -228000000   | <>
Budurovignathus                          | Animal    | Chordata                   | -237000000    | -228000000   | Budurovignathus
Bugunzhites                              | Animal    | Mollusca                   | -242000000    | -235000000   | <>
Bulbocyrtium                             | Micro     | Radiolaria                 | -232000000    | -215560000   | <>
Bullatihungarites                        | Animal    | Mollusca                   | -242000000    | -235000000   | <>
Bullopora                                | Micro     | Foraminifera               | -242000000    | -235000000   | <>
Bupecten                                 | Animal    | Mollusca                   | -242000000    | -232000000   | <>
Burckhardtia                             | Animal    | Mollusca                   | -237000000    | -228000000   | <>
Burgundia                                | Animal    | Porifera                   | -235000000    | -232000000   | Burgundia
Buriolestes                              | Animal    | Chordata                   | -237000000    | -228000000   | Buriolestes
Busuanga                                 | Micro     | Radiolaria                 | -237000000    | -228000000   | Busuanga
Bysmatospermum                           | Plant     | Cycadeoideophyta           | -237000000    | -201300000   | <>
Bystrowiella                             | Animal    | Chordata                   | -242000000    | -235000000   | Bystrowiella
Cacheutacicada                           | Animal    | Arthropoda                 | -237000000    | -228000000   | <>
Caelatichthys                            | Animal    | Chordata                   | -242000000    | -235000000   | <>
Caelestiventus                           | Animal    | Chordata                   | -237000000    | -201300000   | Caelestiventus
Calamites                                | Plant     | Sphenophyta                | -237000000    | -201300000   | Calamites
Calamophyllia                            | Animal    | Cnidaria                   | -237000000    | -228000000   | <>
Calamospora                              | Plant     | Sphenophyta                | -237000000    | -201300000   | <>
Calclamna                                | Animal    | Echinodermata              | -235000000    | -232000000   | Calclamna
Calclamnella                             | Animal    | Echinodermata              | -237000000    | -208500000   | <>
Calclamnoidea                            | Animal    | Echinodermata              | -235000000    | -232000000   | Calclamnoidea
Calcligula                               | Animal    | Echinodermata              | -235000000    | -232000000   | <>
Calicia                                  | Animal    | Porifera                   | -237000000    | -228000000   | <>
Californites                             | Animal    | Mollusca                   | -232000000    | -221500000   | Californites
Californosaurus                          | Animal    | Chordata                   | -237000000    | -228000000   | Californosaurus
Calliconites                             | Animal    | Mollusca                   | -232000000    | -221500000   | Calliconites
Callipteris                              | Plant     | Peltaspermophyta           | -298900000    | -201300000   | Callipteris
Callistomordax                           | Animal    | Chordata                   | -242000000    | -235000000   | Callistomordax
Callotrochus                             | Animal    | Mollusca                   | -232000000    | -221500000   | Callotrochus
Caloblattina                             | Animal    | Arthropoda                 | -237000000    | -201300000   | <>
Calvaentolium                            | Animal    | Mollusca                   | -235000000    | -232000000   | <>
