Asiohomacodon                            | Animal    | Chordata                   | -41300000     | -38000000    | <>
Asiomys                                  | Animal    | Chordata                   | -48600000     | -37200000    | <>
Aspella                                  | Animal    | Mollusca                   | -48600000     | -28400000    | Aspella
Asperrissimocythere                      | Animal    | Arthropoda                 | -48600000     | -37200000    | <>
Aspidopholas                             | Animal    | Mollusca                   | -48600000     | -33900000    | <>
Asplenium                                | Plant     | Pteridophyta               | -46200000     | -40400000    | Asplenium
Assilina                                 | Micro     | Foraminifera               | -41300000     | -38000000    | <>
Astacus                                  | Animal    | Arthropoda                 | -66000000     | -23030000    | Astacus
Astarte                                  | Animal    | Mollusca                   | -41300000     | -38000000    | Astarte
Astephus                                 | Animal    | Chordata                   | -46200000     | -40400000    | <>
Asterigerina                             | Micro     | Foraminifera               | -41300000     | -38000000    | <>
Asterocyclina                            | Micro     | Foraminifera               | -41300000     | -38000000    | <>
Asterosmilia                             | Animal    | Cnidaria                   | -56000000     | -33900000    | Asterosmilia
Asthenognathus                           | Animal    | Arthropoda                 | -48600000     | -37200000    | <>
Asthenotoma                              | Animal    | Mollusca                   | -41300000     | -38000000    | Asthenotoma
Astraea                                  | Animal    | Mollusca                   | -48600000     | -37200000    | Astraea
Astrangia                                | Animal    | Cnidaria                   | -41300000     | -38000000    | Astrangia
Astraponotus                             | Animal    | Chordata                   | -41300000     | -38000000    | Astraponotus
Astreopora                               | Animal    | Cnidaria                   | -41300000     | -38000000    | Astreopora
Astrocoenia                              | Animal    | Cnidaria                   | -41300000     | -38000000    | <>
Astropecten                              | Animal    | Echinodermata              | -48600000     | -37200000    | Astropecten
Astyris                                  | Animal    | Mollusca                   | -41300000     | -38000000    | Astyris
Atherospermophyllum                      | Plant     | Spermatophyta              | -48600000     | -37200000    | <>
Athleta                                  | Animal    | Mollusca                   | -41300000     | -33900000    | Athleta
Athous                                   | Animal    | Arthropoda                 | -48600000     | -40400000    | Athous
