Caudicriodus                             | Animal    | Chordata                   | -407600000    | -393300000   | <>
Cavellina                                | Animal    | Arthropoda                 | -402500000    | -391900000   | <>
Cayugaea                                 | Animal    | Cnidaria                   | -402500000    | -387700000   | <>
Celaeceras                               | Animal    | Mollusca                   | -402500000    | -391900000   | <>
Centauropyge                             | Animal    | Arthropoda                 | -402500000    | -387700000   | Centauropyge
Centriproetus                            | Animal    | Arthropoda                 | -410800000    | -382700000   | <>
Centroceras                              | Animal    | Mollusca                   | -409100000    | -391900000   | <>
Centronella                              | Animal    | Brachiopoda                | -407600000    | -393300000   | <>
Ceratarges                               | Animal    | Arthropoda                 | -402500000    | -391900000   | Ceratarges
Ceratiocaris                             | Animal    | Arthropoda                 | -409100000    | -402500000   | Ceratiocaris
Ceratocephala                            | Animal    | Arthropoda                 | -402500000    | -391900000   | Ceratocephala_(trilobite)
Ceratolichas                             | Animal    | Arthropoda                 | -407600000    | -393300000   | <>
Ceratonurus                              | Animal    | Arthropoda                 | -410800000    | -382700000   | <>
Ceratophyllum                            | Animal    | Cnidaria                   | -402500000    | -387700000   | Ceratophyllum
Cerberatrypa                             | Animal    | Brachiopoda                | -407600000    | -393300000   | <>
Ceriocysta                               | Animal    | Cnidaria                   | -410800000    | -402500000   | <>
Cerovoceras                              | Animal    | Mollusca                   | -410800000    | -383700000   | <>
Chaetetes                                | Animal    | Porifera                   | -402500000    | -391900000   | Chaetetes
Chaetetipora                             | Animal    | Porifera                   | -407600000    | -393300000   | <>
Chaetocladus                             | Plant     | Chlorophyta                | -409100000    | -402500000   | Chaetocladus
Chalcidophyllum                          | Animal    | Cnidaria                   | -410800000    | -393300000   | <>
Charactophyllum                          | Animal    | Cnidaria                   | -402500000    | -391900000   | <>
Charionella                              | Animal    | Brachiopoda                | -419200000    | -358900000   | <>
Charionoides                             | Animal    | Brachiopoda                | -407600000    | -393300000   | <>
Chattaster                               | Animal    | Echinodermata              | -407600000    | -393300000   | <>
Chebbioceras                             | Animal    | Mollusca                   | -409100000    | -391900000   | <>
Chebbites                                | Animal    | Mollusca                   | -402500000    | -391900000   | <>
Cheiracanthoides                         | Animal    | Chordata                   | -402500000    | -391900000   | <>
Cheiropteraster                          | Animal    | Echinodermata              | -409100000    | -402500000   | <>
Cheirurus                                | Animal    | Arthropoda                 | -402500000    | -387700000   | Cheirurus
Chia                                     | Animal    | Cnidaria                   | -402500000    | -391900000   | Chia
Chirodipterus                            | Animal    | Chordata                   | -419200000    | -358900000   | Chirodipterus
Chlamydophyllum                          | Animal    | Cnidaria                   | -409100000    | -402500000   | <>
