Conotheca                                | Animal    | Hyolitha                   | -516000000    | -513000000   | Conotheca
Contitheca                               | Animal    | Hyolitha                   | -513000000    | -501000000   | <>
Coosella                                 | Animal    | Arthropoda                 | -513000000    | -498500000   | Coosella
Coosia                                   | Animal    | Arthropoda                 | -513000000    | -498500000   | Coosia
Coosina                                  | Animal    | Arthropoda                 | -513000000    | -485400000   | Coosina
Cordilleracyathus                        | Animal    | Porifera                   | -516000000    | -513000000   | <>
Cordylodus                               | Animal    | Chordata                   | -541000000    | -485400000   | Cordylodus
Coreospira                               | Animal    | Mollusca                   | -513000000    | -501000000   | <>
Corynetis                                | Animal    | Priapulida                 | -516000000    | -513000000   | Corynetis
Corynexochides                           | Animal    | Arthropoda                 | -513000000    | -498500000   | <>
Corynexochina                            | Animal    | Arthropoda                 | -513000000    | -501000000   | Corynexochina
Corynexochus                             | Animal    | Arthropoda                 | -513000000    | -501000000   | <>
Coscinocyathella                         | Animal    | Porifera                   | -516000000    | -513000000   | <>
Coscinoptycta                            | Animal    | Porifera                   | -516000000    | -513000000   | <>
Costipelagiella                          | Animal    | Mollusca                   | -513000000    | -498500000   | <>
Cotalagnostus                            | Animal    | Arthropoda                 | -513000000    | -498500000   | <>
Cotyledion                               | Animal    | Entoprocta                 | -516000000    | -513000000   | Cotyledion
Courtessolea                             | Animal    | Echinodermata              | -513000000    | -501000000   | <>
Crassicoscinus                           | Animal    | Porifera                   | -516000000    | -513000000   | <>
Crassifimbra                             | Animal    | Arthropoda                 | -513000000    | -505000000   | <>
Crepicephalina                           | Animal    | Arthropoda                 | -513000000    | -505000000   | Crepicephalina
Crepicephalus                            | Animal    | Arthropoda                 | -513000000    | -485400000   | Crepicephalus
Crumillospongia                          | Animal    | Porifera                   | -513000000    | -501000000   | Crumillospongia
Cryptoderaspis                           | Animal    | Arthropoda                 | -513000000    | -498500000   | <>
