Argobuccinum                             | Animal    | Mollusca                   | -28100000     | -23030000    | Argobuccinum
Argopecten                               | Animal    | Mollusca                   | -28100000     | -20440000    | Argopecten
Argyripnus                               | Animal    | Chordata                   | -28100000     | -23030000    | Argyripnus
Argyrocetus                              | Animal    | Chordata                   | -28100000     | -23030000    | <>
Argyrohyrax                              | Animal    | Chordata                   | -29000000     | -21000000    | <>
Argyromys                                | Animal    | Chordata                   | -28400000     | -23030000    | <>
Argyroneta                               | Animal    | Arthropoda                 | -28400000     | -23030000    | Argyroneta
Argyropelecus                            | Animal    | Chordata                   | -28100000     | -23030000    | Argyropelecus
Argyrotheca                              | Animal    | Brachiopoda                | -28100000     | -23030000    | Argyrotheca
Ariamnes                                 | Animal    | Arthropoda                 | -28100000     | -23030000    | <>
Arikareeomys                             | Animal    | Chordata                   | -24800000     | -20430000    | <>
Arikarictis                              | Animal    | Chordata                   | -24800000     | -20430000    | <>
Ariosoma                                 | Animal    | Chordata                   | -28400000     | -23030000    | Ariosoma
Arktocara                                | Animal    | Chordata                   | -28100000     | -23030000    | Arktocara
Armadillidium                            | Animal    | Arthropoda                 | -28100000     | -23030000    | Armadillidium
Armantomys                               | Animal    | Chordata                   | -28400000     | -23030000    | <>
Arnoglossus                              | Animal    | Chordata                   | -25200000     | -21700000    | Arnoglossus
Arretotherium                            | Animal    | Chordata                   | -24800000     | -20430000    | <>
Arrhoges                                 | Animal    | Mollusca                   | -28100000     | -23030000    | Arrhoges
Arsinoitherium                           | Animal    | Chordata                   | -28100000     | -23030000    | Arsinoitherium
Artena                                   | Animal    | Mollusca                   | -28100000     | -20440000    | <>
Arthropoma                               | Animal    | Bryozoa                    | -33900000     | -5333000     | <>
Articulina                               | Micro     | Foraminifera               | -28400000     | -23030000    | <>
Ashleychelys                             | Animal    | Chordata                   | -28100000     | -23030000    | <>
Ashoroa                                  | Animal    | Chordata                   | -28100000     | -23030000    | Ashoroa
Asiacastor                               | Animal    | Chordata                   | -28100000     | -23030000    | <>
Asianeomys                               | Animal    | Chordata                   | -28400000     | -15970000    | <>
Asiavorator                              | Animal    | Chordata                   | -28400000     | -23030000    | Asiavorator
Asifcroco                                | Animal    | Chordata                   | -33900000     | -23030000    | <>
Asilus                                   | Animal    | Arthropoda                 | -28100000     | -23030000    | Asilus
Asindulum                                | Animal    | Arthropoda                 | -28100000     | -23030000    | Asindulum
Asmodeus                                 | Animal    | Chordata                   | -29000000     | -21000000    | <>
Aspidopholas                             | Animal    | Mollusca                   | -28100000     | -23030000    | <>
Aspidostoma                              | Animal    | Bryozoa                    | -33900000     | -5333000     | <>
Aspilota                                 | Animal    | Arthropoda                 | -28100000     | -23030000    | Aspilota
Asplenium                                | Plant     | Pteridophyta               | -55800000     | -5333000     | Asplenium
Assiminea                                | Animal    | Mollusca                   | -28100000     | -20440000    | Assiminea
Astacus                                  | Animal    | Arthropoda                 | -66000000     | -23030000    | Astacus
Astarte                                  | Animal    | Mollusca                   | -28100000     | -23030000    | Astarte_(bivalve)
