Eireocrinus                              | Animal    | Echinodermata              | -364700000    | -360700000   | <>
Eleutherokomma                           | Animal    | Brachiopoda                | -370600000    | -364700000   | <>
Emanuella                                | Animal    | Brachiopoda                | -382700000    | -358900000   | <>
Emmonsia                                 | Animal    | Cnidaria                   | -419200000    | -358900000   | Emmonsia
Emphanisporites                          | Plant     | Bryophyta                  | -376100000    | -370600000   | <>
Encrinaster                              | Animal    | Echinodermata              | -419200000    | -358900000   | <>
Endosiphonites                           | Animal    | Mollusca                   | -364700000    | -360700000   | <>
Enkebergoceras                           | Animal    | Mollusca                   | -370600000    | -364700000   | <>
Ensiferites                              | Animal    | Porifera                   | -372200000    | -358900000   | <>
Entactinosphaera                         | Micro     | Radiolaria                 | -382700000    | -358900000   | <>
Entomozoe                                | Animal    | Arthropoda                 | -376100000    | -370600000   | <>
Eobrachythyris                           | Animal    | Brachiopoda                | -372200000    | -358900000   | <>
Eochoristites                            | Animal    | Brachiopoda                | -372200000    | -346700000   | <>
Eodevonaria                              | Animal    | Brachiopoda                | -393300000    | -358900000   | <>
Eofistulotrypa                           | Animal    | Bryozoa                    | -370600000    | -360700000   | <>
Eoparaphorhynchus                        | Animal    | Brachiopoda                | -372200000    | -358900000   | <>
Eoptychia                                | Animal    | Mollusca                   | -364700000    | -360700000   | <>
Eoschizodus                              | Animal    | Mollusca                   | -364700000    | -360700000   | <>
Eoschuchertella                          | Animal    | Brachiopoda                | -376100000    | -370600000   | <>
Eospirifer                               | Animal    | Brachiopoda                | -419200000    | -358900000   | Eospirifer
Eotuberitina                             | Micro     | Foraminifera               | -382700000    | -346700000   | <>
Eowinterbergia                           | Animal    | Arthropoda                 | -364700000    | -360700000   | <>
Epitornoceras                            | Animal    | Mollusca                   | -372200000    | -358900000   | <>
