Astrea                                   | Animal    | Cnidaria                   | -781000       | -11700       | <>
Astreopora                               | Animal    | Cnidaria                   | -781000       | -126000      | Astreopora
Astrhelia                                | Animal    | Cnidaria                   | -5333000      | -11700       | <>
Astrocoenia                              | Animal    | Cnidaria                   | -5333000      | -11700       | <>
Astroides                                | Animal    | Cnidaria                   | -781000       | -126000      | Astroides
Astyris                                  | Animal    | Mollusca                   | -781000       | -126000      | Astyris
Atactodea                                | Animal    | Mollusca                   | -2588000      | -11700       | <>
Atelecyclus                              | Animal    | Arthropoda                 | -2588000      | -11700       | Atelecyclus
Atelerix                                 | Animal    | Chordata                   | -2588000      | 2030         | Atelerix
Ateuchus                                 | Animal    | Arthropoda                 | -1800000      | -300000      | Ateuchus
Athene                                   | Animal    | Chordata                   | -300000       | -12000       | Athene_(bird)
Atherina                                 | Animal    | Chordata                   | -781000       | -126000      | Atherina
Atherosperma                             | Plant     | Spermatophyta              | -2588000      | -126000      | Atherosperma
Atherurus                                | Animal    | Chordata                   | -781000       | -126000      | Atherurus
Athrotaxis                               | Plant     | Pinophyta                  | -2588000      | -126000      | Athrotaxis
Atilax                                   | Animal    | Chordata                   | -2588000      | 2030         | Atilax
Atlanta                                  | Animal    | Mollusca                   | -2588000      | -11700       | Atlanta
Atomaria                                 | Animal    | Arthropoda                 | -781000       | -126000      | Atomaria
Atopomys                                 | Animal    | Chordata                   | -1800000      | -300000      | <>
Atractosteus                             | Animal    | Chordata                   | -300000       | -12000       | Atractosteus
Atrina                                   | Animal    | Mollusca                   | -781000       | -126000      | Atrina
Attiliosa                                | Animal    | Mollusca                   | -781000       | -126000      | Attiliosa
Aturia                                   | Animal    | Mollusca                   | -781000       | -12000       | Aturia
Atys                                     | Animal    | Mollusca                   | -2588000      | 2030         | Atys_(gastropod)
Auchenoceros                             | Animal    | Chordata                   | -1630000      | -340000      | Auchenoceros
Auchenoglanis                            | Animal    | Chordata                   | -5333000      | -11700       | Auchenoglanis
Aulacomya                                | Animal    | Mollusca                   | -781000       | -126000      | Aulacomya
Auritibicen                              | Animal    | Arthropoda                 | -781000       | -126000      | Auritibicen
Australonyx                              | Animal    | Chordata                   | -781000       | -12000       | Australonyx
Australopithecus                         | Animal    | Chordata                   | -2588000      | -11700       | Australopithecus
Austrofusus                              | Animal    | Mollusca                   | -781000       | -126000      | Austrofusus
Austrorissopsis                          | Animal    | Mollusca                   | -1630000      | -340000      | <>
Austrovenus                              | Animal    | Mollusca                   | -781000       | -126000      | Austrovenus
Avicula                                  | Animal    | Mollusca                   | -2588000      | -11700       | <>
Awashia                                  | Animal    | Chordata                   | -5333000      | -11700       | <>
Axinopsida                               | Animal    | Mollusca                   | -781000       | -126000      | <>
Axinus                                   | Animal    | Mollusca                   | -2588000      | -11700       | <>
Axis                                     | Animal    | Chordata                   | -2588000      | -11700       | Axis_(genus)
Axius                                    | Animal    | Arthropoda                 | -2588000      | -11700       | Axius_(crustacean)
Aythya                                   | Animal    | Chordata                   | -300000       | -12000       | Aythya
Azolla                                   | Plant     | Pteridophyta               | -2588000      | -11700       | Azolla
Azorinus                                 | Animal    | Mollusca                   | -781000       | -126000      | <>
Aztlanolagus                             | Animal    | Chordata                   | -1800000      | -300000      | Aztlanolagus
Babylonia                                | Animal    | Mollusca                   | -2588000      | -11700       | Babylonia_(gastropod)
Babyrousa                                | Animal    | Chordata                   | -2588000      | -11700       | Babyrousa
Baculogypsina                            | Micro     | Foraminifera               | -781000       | -11700       | <>
Baeckea                                  | Plant     | Spermatophyta              | -2588000      | -126000      | Baeckea
Bagous                                   | Animal    | Arthropoda                 | -781000       | -126000      | Bagous
Bagrus                                   | Animal    | Chordata                   | -2588000      | 2030         | Bagrus
Bailya                                   | Animal    | Mollusca                   | -781000       | -126000      | Bailya
Baiomys                                  | Animal    | Chordata                   | -1800000      | -300000      | Baiomys
Balaena                                  | Animal    | Chordata                   | -2588000      | -11700       | Balaena
Balaenoptera                             | Animal    | Chordata                   | -781000       | -126000      | Balaenoptera
Balanophyllia                            | Animal    | Cnidaria                   | -781000       | -126000      | Balanophyllia
Balanops                                 | Plant     | Spermatophyta              | -2588000      | -11700       | Balanops
Balanus                                  | Animal    | Arthropoda                 | -781000       | -11700       | Balanus
Balcis                                   | Animal    | Mollusca                   | -781000       | -126000      | <>
Balistes                                 | Animal    | Chordata                   | -1800000      | -300000      | Balistes
Banksia Proteaceae                       | Plant     | Spermatophyta              | -2588000      | -11700       | Banksia
Banksieaeidites                          | Plant     | Spermatophyta              | -2588000      | -126000      | Banksieaeidites
Baranogale                               | Animal    | Chordata                   | -5333000      | -11700       | <>
Barbarofusus                             | Animal    | Mollusca                   | -781000       | -126000      | Barbarofusus
Barbastella                              | Animal    | Chordata                   | -781000       | -126000      | Barbastella
Barbatia                                 | Animal    | Mollusca                   | -781000       | -11700       | Barbatia
Barbus                                   | Animal    | Chordata                   | -781000       | -126000      | Barbus
Baringa                                  | Animal    | Chordata                   | -2588000      | -11700       | <>
