Bilsdalea                                | Plant     | Coniferophyta              | -175600000    | -171600000   | <>
Binoculites                              | Animal    | Echinodermata              | -183000000    | -182000000   | <>
Bipedis                                  | Micro     | Radiolaria                 | -182700000    | -170300000   | <>
Biscutum                                 | Plant     | Haptophyta                 | -180100000    | -175600000   | <>
Bishanopliosaurus                        | Animal    | Chordata                   | -182700000    | -174100000   | Bishanopliosaurus
Bistarkum                                | Micro     | Radiolaria                 | -175600000    | -168400000   | <>
Bjuvia                                   | Plant     | Cycadophyta                | -208500000    | -174100000   | <>
Blattula                                 | Animal    | Arthropoda                 | -182700000    | -170300000   | <>
Blattulites                              | Animal    | Arthropoda                 | -182700000    | -174100000   | <>
Bodephora                                | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Bositra                                  | Animal    | Mollusca                   | -175600000    | -171600000   | <>
Bosniella                                | Micro     | Foraminifera               | -183000000    | -182000000   | <>
Bouleiceras                              | Animal    | Mollusca                   | -182700000    | -174100000   | <>
Brachybelus                              | Animal    | Mollusca                   | -182700000    | -170300000   | Brachybelus
Brachylaimon                             | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Brachyphyllum                            | Plant     | Coniferophyta              | -175600000    | -168400000   | Brachyphyllum
Brachytrachelites                        | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Bradfordia                               | Animal    | Mollusca                   | -175600000    | -171600000   | Bradfordia
Brasilia                                 | Animal    | Mollusca                   | -175600000    | -171600000   | Brasilia
Brasilichnium                            | Animal    | Chordata                   | -190800000    | -174100000   | <>
Bredyia                                  | Animal    | Mollusca                   | -175600000    | -171600000   | Bredyia
Brevibelus                               | Animal    | Mollusca                   | -175600000    | -171600000   | Brevibelus
Brigittepterus                           | Animal    | Arthropoda                 | -182700000    | -174100000   | <>
Brizalina                                | Micro     | Foraminifera               | -180100000    | -175600000   | <>
Broctus                                  | Micro     | Radiolaria                 | -183000000    | -182000000   | <>
Brodieia                                 | Animal    | Mollusca                   | -180100000    | -175600000   | <>
Brontopodus                              | Animal    | Chordata                   | -201300000    | -174100000   | Brontopodus
Buchia                                   | Animal    | Mollusca                   | -182700000    | -157300000   | <>
Bucklandia                               | Plant     | Cycadophyta                | -201300000    | -174100000   | <>
Bullariscus                              | Animal    | Arthropoda                 | -201300000    | -145000000   | <>
Bullopora                                | Micro     | Foraminifera               | -175600000    | -171600000   | <>
Burmirhynchia                            | Animal    | Brachiopoda                | -182700000    | -174100000   | <>
Bussonius                                | Plant     | Haptophyta                 | -175600000    | -171600000   | <>
Buvignieria                              | Animal    | Mollusca                   | -183000000    | -175600000   | <>
Bysmatospermum                           | Plant     | Cycadeoideophyta           | -201300000    | -174100000   | <>
Bythocypris                              | Animal    | Arthropoda                 | -175600000    | -171600000   | <>
Cadomella                                | Animal    | Brachiopoda                | -182000000    | -175600000   | <>
Caenocidaris                             | Animal    | Echinodermata              | -180100000    | -175600000   | <>
Caenodiotis                              | Animal    | Mollusca                   | -182700000    | -174100000   | <>
Cagliceras                               | Animal    | Mollusca                   | -175600000    | -171600000   | <>
Calamites                                | Plant     | Sphenophyta                | -175600000    | -171600000   | Calamites
Calamophylliopsis                        | Animal    | Cnidaria                   | -175600000    | -171600000   | Calamophylliopsis
Calamospora                              | Plant     | Sphenophyta                | -182700000    | -174100000   | <>
Caledorhynchia                           | Animal    | Brachiopoda                | -175600000    | -161200000   | <>
Callialasporites                         | Plant     | Coniferophyta              | -175600000    | -171600000   | <>
Callianassa                              | Animal    | Arthropoda                 | -183000000    | -182000000   | Callianassa
Calliotropis                             | Animal    | Mollusca                   | -189600000    | -182000000   | Calliotropis
Calliphylloceras                         | Animal    | Mollusca                   | -175600000    | -171600000   | Calliphylloceras
Callospiriferina                         | Animal    | Brachiopoda                | -183000000    | -182000000   | <>
Caloblattina                             | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Caloceras                                | Animal    | Mollusca                   | -201300000    | -163500000   | Caloceras
Caltrop                                  | Micro     | Radiolaria                 | -182000000    | -175600000   | Caltrop
Calyculus                                | Plant     | Haptophyta                 | -175600000    | -171600000   | Calyculus
Calyptoria                               | Animal    | Brachiopoda                | -182700000    | -174100000   | <>
Camaricopterus                           | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Campeulites                              | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Campterophlebia                          | Animal    | Arthropoda                 | -182700000    | -174100000   | Campterophlebia
Camptonectes                             | Animal    | Mollusca                   | -175600000    | -145000000   | <>
Campylognathoides                        | Animal    | Chordata                   | -183000000    | -182000000   | Campylognathoides
Canavarella                              | Animal    | Mollusca                   | -175600000    | -171600000   | <>
Canavaria                                | Animal    | Mollusca                   | -183000000    | -182000000   | <>
Candona                                  | Animal    | Arthropoda                 | -199300000    | -170300000   | Candona
Canesium                                 | Micro     | Radiolaria                 | -247200000    | -174100000   | <>
Canoptum                                 | Micro     | Radiolaria                 | -175600000    | -171600000   | <>
Canutus                                  | Micro     | Radiolaria                 | -182000000    | -175600000   | <>
Capillirhynchia                          | Animal    | Brachiopoda                | -175600000    | -171600000   | <>
Capnodoce                                | Micro     | Radiolaria                 | -247200000    | -174100000   | <>
Capnuchosphaera                          | Micro     | Radiolaria                 | -247200000    | -174100000   | <>
Carabites                                | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Carabocera                               | Animal    | Arthropoda                 | -182700000    | -174100000   | <>
Carabopteron                             | Animal    | Arthropoda                 | -182700000    | -170300000   | <>
Caraphlebia                              | Animal    | Arthropoda                 | -183000000    | -182000000   | Caraphlebia
Cardiastraea                             | Animal    | Cnidaria                   | -180100000    | -175600000   | <>
Cardinia                                 | Animal    | Mollusca                   | -180100000    | -175600000   | Cardinia
Cardobairdia                             | Animal    | Arthropoda                 | -180100000    | -175600000   | <>
Carinolithus                             | Plant     | Haptophyta                 | -175600000    | -171600000   | <>
Cassianopsis                             | Animal    | Mollusca                   | -182700000    | -174100000   | <>
Catacoeloceras                           | Animal    | Mollusca                   | -180100000    | -175600000   | Catacoeloceras
Catella                                  | Animal    | Mollusca                   | -175600000    | -171600000   | <>
Cathalus                                 | Animal    | Arthropoda                 | -183000000    | -182000000   | <>
Catulloceras                             | Animal    | Mollusca                   | -175600000    | -171600000   | <>
Caturus                                  | Animal    | Chordata                   | -182700000    | -174100000   | Caturus
Cavicarabus                              | Animal    | Arthropoda                 | -182700000    | -174100000   | <>
Cayeuxia                                 | Micro     | Cyanobacteria              | -175600000    | -171600000   | <>
Caytonanthus                             | Plant     | Pteridospermophyta         | -201300000    | -174100000   | Caytonanthus
