Asio                                     | Animal    | Chordata                   | -11608000     | -11700       | Asio
Asoriculus                               | Animal    | Chordata                   | -11608000     | -3600000     | Asoriculus
Aspatharia                               | Animal    | Mollusca                   | -5333000      | -11700       | Aspatharia
Aspideretes                              | Animal    | Chordata                   | -5333000      | -3200000     | Aspideretes
Asplenium                                | Plant     | Pteridophyta               | -23030000     | -2588000     | Asplenium
Astadelphis                              | Animal    | Chordata                   | -5333000      | -2588000     | <>
Astarte                                  | Animal    | Mollusca                   | -11608000     | -3600000     | Astarte
Asteracanthus                            | Animal    | Chordata                   | -7246000      | -3600000     | Asteracanthus
Asterigerina                             | Micro     | Foraminifera               | -5333000      | -3600000     | <>
Asterorotalia                            | Micro     | Foraminifera               | -5333000      | -3600000     | <>
Asterosmilia                             | Animal    | Cnidaria                   | -11608000     | -3600000     | Asterosmilia
Asthenognathus                           | Animal    | Arthropoda                 | -5333000      | -2588000     | <>
Asthenotoma                              | Animal    | Mollusca                   | -5333000      | -2588000     | Asthenotoma
Astraea                                  | Animal    | Mollusca                   | -5333000      | -11700       | Astraea
Astralium                                | Animal    | Mollusca                   | -5333000      | -3600000     | Astralium
Astrangia                                | Animal    | Cnidaria                   | -4900000      | -1800000     | Astrangia
Astrea                                   | Animal    | Cnidaria                   | -5333000      | -11700       | <>
Astreopora                               | Animal    | Cnidaria                   | -11608000     | -2588000     | Astreopora
Astrhelia                                | Animal    | Cnidaria                   | -5333000      | -11700       | <>
Astrocoenia                              | Animal    | Cnidaria                   | -11608000     | -2588000     | <>
Astrodapsis                              | Animal    | Echinodermata              | -11608000     | -3600000     | <>
Astrohippus                              | Animal    | Chordata                   | -10300000     | -4900000     | Astrohippus
Astrononion                              | Micro     | Foraminifera               | -11608000     | -3600000     | Astrononion
Astropecten                              | Animal    | Echinodermata              | -5333000      | -2588000     | Astropecten
Astroscopus                              | Animal    | Chordata                   | -5333000      | -3600000     | Astroscopus
Astyris                                  | Animal    | Mollusca                   | -5333000      | -2588000     | Astyris
Atalophlebia                             | Animal    | Arthropoda                 | -5333000      | -2588000     | Atalophlebia
Atergatis                                | Animal    | Arthropoda                 | -5333000      | -2588000     | Atergatis
Athene                                   | Animal    | Chordata                   | -5333000      | -11700       | Athene_(bird)
Atherinomorus                            | Animal    | Chordata                   | -5333000      | -2588000     | Atherinomorus
Atherurus                                | Animal    | Chordata                   | -11620000     | -3600000     | Atherurus
Athleta                                  | Animal    | Mollusca                   | -5333000      | -3600000     | Athleta
Atlanta                                  | Animal    | Mollusca                   | -5333000      | -2588000     | Atlanta
Atlantoxerus                             | Animal    | Chordata                   | -23030000     | -2588000     | Atlantoxerus
Atreta                                   | Animal    | Mollusca                   | -5333000      | -3600000     | <>
Atrina                                   | Animal    | Mollusca                   | -5333000      | -2588000     | Atrina
Attiliosa                                | Animal    | Mollusca                   | -5333000      | -2588000     | Attiliosa
Atys                                     | Animal    | Mollusca                   | -5333000      | -2588000     | Atys_(gastropod)
Auchenoceros                             | Animal    | Chordata                   | -5333000      | -2400000     | Auchenoceros
Auchenoglanis                            | Animal    | Chordata                   | -5333000      | -11700       | Auchenoglanis
