Chonetipustula                           | Animal    | Brachiopoda                | -326400000    | -318100000   | <>
Choristites                              | Animal    | Brachiopoda                | -323200000    | -252170000   | <>
Chumazites                               | Animal    | Mollusca                   | -318100000    | -314600000   | <>
Cibolocrinus                             | Animal    | Echinodermata              | -318100000    | -314600000   | <>
Cimmeriella                              | Animal    | Brachiopoda                | -323200000    | -307000000   | <>
Cinclidonema                             | Animal    | Mollusca                   | -323200000    | -307000000   | <>
Cincosaurus                              | Animal    | Chordata                   | -318100000    | -306950000   | <>
Cladochonus                              | Animal    | Cnidaria                   | -318100000    | -306950000   | Cladochonus
Cladodus                                 | Animal    | Chordata                   | -323200000    | -315200000   | Cladodus
Clathrocrinus                            | Animal    | Echinodermata              | -323200000    | -315200000   | <>
Clathrospongia                           | Animal    | Porifera                   | -326400000    | -318100000   | <>
Clausotrypa                              | Animal    | Bryozoa                    | -318100000    | -314600000   | Clausotrypa
Claviphyllum                             | Animal    | Cnidaria                   | -326400000    | -318100000   | <>
Cleiothyridina                           | Animal    | Brachiopoda                | -318100000    | -306950000   | Cleiothyridina
Cleistopora                              | Animal    | Cnidaria                   | -358900000    | -298900000   | <>
Clepsydropsis                            | Plant     | Pteridophyta               | -318100000    | -314600000   | <>
Climacammina                             | Micro     | Foraminifera               | -318100000    | -306950000   | <>
Climaconeura                             | Animal    | Arthropoda                 | -318100000    | -314600000   | <>
Clisiophyllum                            | Animal    | Cnidaria                   | -318100000    | -314600000   | <>
Cluthoceras                              | Animal    | Mollusca                   | -326400000    | -318100000   | <>
Cochliodus                               | Animal    | Chordata                   | -323200000    | -298900000   | <>
Codaster                                 | Animal    | Echinodermata              | -326400000    | -318100000   | <>
Codonotheca                              | Plant     | Pteridospermophyta         | -323200000    | -298900000   | <>
Coelacanthus                             | Animal    | Chordata                   | -318100000    | -306950000   | Coelacanthus
Coelogasteroceras                        | Animal    | Mollusca                   | -318100000    | -314600000   | <>
Coledium                                 | Animal    | Brachiopoda                | -318100000    | -314600000   | <>
