Cypricardinia                            | Animal    | Mollusca                   | -376100000    | -370600000   | Cypricardinia
Cyrtentactinia                           | Micro     | Radiolaria                 | -382700000    | -358900000   | <>
Cyrtina                                  | Animal    | Brachiopoda                | -379500000    | -376100000   | <>
Cyrtiopsis                               | Animal    | Brachiopoda                | -376100000    | -370600000   | <>
Cyrtiorina                               | Animal    | Brachiopoda                | -376100000    | -370600000   | <>
Cyrtogomphus                             | Animal    | Mollusca                   | -376100000    | -370600000   | <>
Cyrtospirifer                            | Animal    | Brachiopoda                | -376100000    | -370600000   | Cyrtospirifer
Cyrtosymbole                             | Animal    | Arthropoda                 | -376100000    | -370600000   | <>
Cystelasma                               | Animal    | Cnidaria                   | -419200000    | -298900000   | <>
Cystihalysites                           | Animal    | Cnidaria                   | -443400000    | -358900000   | <>
Cystihexagonaria                         | Animal    | Cnidaria                   | -382700000    | -372200000   | <>
Cystiphylloides                          | Animal    | Cnidaria                   | -388100000    | -382400000   | <>
Cystiphyllum                             | Animal    | Cnidaria                   | -382700000    | -372200000   | <>
Cystodictya                              | Animal    | Bryozoa                    | -419200000    | -358900000   | Cystodictya
Cytherellina                             | Animal    | Arthropoda                 | -376100000    | -370600000   | <>
Dactylocrinus                            | Animal    | Echinodermata              | -383700000    | -382400000   | <>
Dalmanella                               | Animal    | Brachiopoda                | -388100000    | -382400000   | <>
Dalmanites                               | Animal    | Arthropoda                 | -382700000    | -372200000   | Dalmanites
Debnikiella                              | Animal    | Cnidaria                   | -382700000    | -372200000   | <>
Delotaxis                                | Animal    | Chordata                   | -379500000    | -376100000   | <>
Delphiceras                              | Animal    | Mollusca                   | -379500000    | -376100000   | <>
Delthyris                                | Animal    | Brachiopoda                | -419200000    | -358900000   | <>
Dendropora                               | Animal    | Cnidaria                   | -382700000    | -372200000   | <>
Dendrostella                             | Animal    | Cnidaria                   | -382700000    | -372200000   | <>
Dendrostroma                             | Animal    | Porifera                   | -379500000    | -376100000   | <>
Derbyina                                 | Animal    | Brachiopoda                | -382700000    | -372200000   | <>
Desquamatia                              | Animal    | Brachiopoda                | -379500000    | -376100000   | <>
Devonalosia                              | Animal    | Brachiopoda                | -383700000    | -382400000   | <>
Devonochonetes                           | Animal    | Brachiopoda                | -382700000    | -372200000   | <>
Devononchus                              | Animal    | Chordata                   | -383700000    | -382400000   | <>
Devonoproductus                          | Animal    | Brachiopoda                | -379500000    | -376100000   | <>
Devonopronorites                         | Animal    | Mollusca                   | -379500000    | -376100000   | <>
Devonoscyphia                            | Animal    | Porifera                   | -379500000    | -376100000   | <>
Devonothyonites                          | Animal    | Echinodermata              | -379500000    | -376100000   | <>
Diadelochiton                            | Animal    | Mollusca                   | -382700000    | -372200000   | <>
Dichacaenia                              | Animal    | Brachiopoda                | -383700000    | -382400000   | <>
Dichospirifer                            | Animal    | Brachiopoda                | -376100000    | -370600000   | <>
Dicricoconus                             | Animal    | Lophotrochozoa             | -379500000    | -376100000   | <>
Dictyostrophia                           | Animal    | Brachiopoda                | -382700000    | -372200000   | <>
Dictyotomaria                            | Animal    | Mollusca                   | -376100000    | -370600000   | <>
Dielasma                                 | Animal    | Brachiopoda                | -376100000    | -370600000   | <>
Diffusolasma                             | Animal    | Cnidaria                   | -379500000    | -376100000   | <>
Dignomia                                 | Animal    | Brachiopoda                | -376100000    | -370600000   | <>
Dihelice                                 | Animal    | Mollusca                   | -383700000    | -382400000   | <>
Dimeroceras                              | Animal    | Mollusca                   | -376100000    | -370600000   | <>
Diphyphyllum                             | Animal    | Cnidaria                   | -419200000    | -298900000   | <>
Diplacanthus                             | Animal    | Chordata                   | -382700000    | -372200000   | Diplacanthus
Diplochone                               | Animal    | Cnidaria                   | -419200000    | -358900000   | <>
Diplosphaerina                           | Micro     | Foraminifera               | -376100000    | -370600000   | <>
Dipterus                                 | Animal    | Chordata                   | -382700000    | -358900000   | Dipterus
Disphyllum                               | Animal    | Cnidaria                   | -376100000    | -370600000   | <>
Dmitria                                  | Animal    | Brachiopoda                | -376100000    | -370600000   | <>
Dohmophyllum                             | Animal    | Cnidaria                   | -388100000    | -372200000   | <>
Dolatocrinus                             | Animal    | Echinodermata              | -419200000    | -358900000   | <>
Domanikoceras                            | Animal    | Mollusca                   | -382400000    | -379500000   | Domanikoceras
Donaldiella                              | Animal    | Mollusca                   | -379500000    | -376100000   | <>
Donaldina                                | Animal    | Mollusca                   | -382700000    | -372200000   | Donaldina
Donalosia                                | Animal    | Brachiopoda                | -376100000    | -370600000   | <>
Douvillina                               | Animal    | Brachiopoda                | -379500000    | -376100000   | <>
Douvillinaria                            | Animal    | Brachiopoda                | -379500000    | -376100000   | <>
Drepanodus                               | Animal    | Chordata                   | -387700000    | -372200000   | <>
Drepanophycus                            | Plant     | Psilophytophyta            | -382700000    | -372200000   | Drepanophycus
Dudleyaspis                              | Animal    | Arthropoda                 | -379500000    | -376100000   | <>
Dunkleosteus                             | Animal    | Chordata                   | -382700000    | -358900000   | Dunkleosteus
Dutoitea                                 | Plant     | Tracheophyta               | -393300000    | -358900000   | Dutoitea
Dutoitia                                 | Plant     | Psilophytophyta            | -393300000    | -358900000   | <>
Earlandia                                | Micro     | Foraminifera               | -382700000    | -358900000   | Earlandia
Echinoconchus                            | Animal    | Brachiopoda                | -382700000    | -372200000   | <>
Ectenodesma                              | Animal    | Mollusca                   | -382700000    | -372200000   | <>
Eddya                                    | Plant     | Gymnospermophyta           | -382700000    | -372200000   | <>
Edmondia                                 | Animal    | Mollusca                   | -382700000    | -358900000   | Edmondia
Egorovia                                 | Animal    | Arthropoda                 | -376100000    | -370600000   | <>
Eldredgeops                              | Animal    | Arthropoda                 | -382700000    | -372200000   | Eldredgeops
Eleutherokomma                           | Animal    | Brachiopoda                | -382700000    | -358900000   | <>
Elginerpeton                             | Animal    | Chordata                   | -379500000    | -376100000   | Elginerpeton
Elita                                    | Animal    | Brachiopoda                | -379500000    | -376100000   | Elita
Ellesmeris                               | Plant     | Pteridophyta               | -382400000    | -379500000   | <>
Elpistostege                             | Animal    | Chordata                   | -382700000    | -372200000   | Elpistostege
Emanuella                                | Animal    | Brachiopoda                | -379500000    | -376100000   | <>
Emmonsia                                 | Animal    | Cnidaria                   | -419200000    | -358900000   | Emmonsia
