Apateodus                                | Animal    | Chordata                   | -72100000     | -66000000    | Apateodus
Apatoraptor                              | Animal    | Chordata                   | -70600000     | -66000000    | Apatoraptor
Apeibopsis                               | Plant     | Spermatophyta              | -100500000    | -66000000    | <>
Aphaea                                   | Animal    | Mollusca                   | -72100000     | -66000000    | Aphaea
Aphaurosuchus                            | Animal    | Chordata                   | -83500000     | -66000000    | <>
Aphidinius                               | Animal    | Arthropoda                 | -83500000     | -70600000    | <>
Aphrocallistes                           | Animal    | Porifera                   | -70600000     | -66000000    | Aphrocallistes
Aphrodina                                | Animal    | Mollusca                   | -70600000     | -66000000    | <>
Aphrosaurus                              | Animal    | Chordata                   | -72100000     | -66000000    | Aphrosaurus
Apiculatisporites                        | Plant     | Pteridophyta               | -83500000     | -66000000    | <>
Apistodon                                | Animal    | Chordata                   | -83500000     | -70600000    | <>
Aplestosuchus                            | Animal    | Chordata                   | -83500000     | -66000000    | Aplestosuchus
Aplexa                                   | Animal    | Mollusca                   | -70600000     | -66000000    | Aplexa
Apocopodon                               | Animal    | Chordata                   | -100500000    | -66000000    | Apocopodon
Apogonidarum                             | Animal    | Chordata                   | -70600000     | -66000000    | <>
Aporrhais                                | Animal    | Mollusca                   | -145000000    | -66000000    | Aporrhais
Appalachiosaurus                         | Animal    | Chordata                   | -70600000     | -66000000    | Appalachiosaurus
Appendicisporites                        | Plant     | Pteridophyta               | -100500000    | -5333000     | <>
Applinocrinus                            | Animal    | Echinodermata              | -70600000     | -61600000    | <>
Apricardia                               | Animal    | Mollusca                   | -70600000     | -66000000    | <>
Aprisaurus                               | Animal    | Chordata                   | -83500000     | -70600000    | <>
Aprosuchus                               | Animal    | Chordata                   | -70600000     | -66000000    | <>
Apsgnathus                               | Animal    | Chordata                   | -83500000     | -70600000    | <>
Apsopelix                                | Animal    | Chordata                   | -100500000    | -66000000    | Apsopelix
Aptychus                                 | Animal    | Mollusca                   | -83500000     | -70600000    | Aptychus
Apulites                                 | Animal    | Mollusca                   | -83500000     | -66000000    | <>
Aquaephyllum                             | Plant     | Angiospermae               | -100500000    | -61700000    | <>
Aquatilavipes                            | Animal    | Chordata                   | -83500000     | -66000000    | <>
Aquiladelphis                            | Animal    | Chordata                   | -70600000     | -66000000    | <>
Aquilapollenites                         | Plant     | Magnoliophyta              | -70600000     | -66000000    | <>
Aquilarhinus                             | Animal    | Chordata                   | -83500000     | -70600000    | Aquilarhinus
Arackar                                  | Animal    | Chordata                   | -83600000     | -66000000    | Arackar
Aradus                                   | Animal    | Arthropoda                 | -83500000     | -70600000    | Aradus
Araeosaurus                              | Animal    | Chordata                   | -83500000     | -70600000    | <>
Aralazhdarcho                            | Animal    | Chordata                   | -86300000     | -70600000    | Aralazhdarcho
Araliaephyllum                           | Plant     | Spermatophyta              | -100500000    | -66000000    | <>
Aralia                                   | Plant     | Spermatophyta              | -100500000    | -66000000    | Aralia
Aralosaurus                              | Animal    | Chordata                   | -86300000     | -70600000    | Aralosaurus
Araloselachus                            | Animal    | Chordata                   | -100500000    | -66000000    | <>
Arambourgiania                           | Animal    | Chordata                   | -72100000     | -66000000    | Arambourgiania
Araripesuchus                            | Animal    | Chordata                   | -72100000     | -66000000    | Araripesuchus
Araucariacites                           | Plant     | Pinophyta                  | -100500000    | -33900000    | <>
Araucaria                                | Plant     | Pinophyta                  | -100500000    | -33900000    | Araucaria
Araucarioxylon                           | Plant     | Pinophyta                  | -145000000    | -66000000    | Araucarioxylon
Araucarites                              | Plant     | Pinophyta                  | -100500000    | -66000000    | <>
Arca                                     | Animal    | Mollusca                   | -70600000     | -66000000    | Arca
Arcellites                               | Plant     | Pteridophyta               | -145000000    | -66000000    | <>
Archaeanthus                             | Plant     | Spermatophyta              | -145000000    | -66000000    | <>
Archaeocarabus                           | Animal    | Arthropoda                 | -100500000    | -66000000    | <>
Archaeodictyomitra                       | Micro     | Radiolaria                 | -145000000    | -66000000    | <>
Archaeoglobigerina                       | Micro     | Foraminifera               | -72100000     | -66000000    | <>
Archaeolamna                             | Animal    | Chordata                   | -70600000     | -66000000    | Archaeolamna
Archaeolithophyllum                      | Plant     | Rhodophyta                 | -89300000     | -66000000    | Archaeolithophyllum
Archaeoniscus                            | Animal    | Arthropoda                 | -145000000    | -66000000    | Archaeoniscus
Archaeopaliurus                          | Plant     | Spermatophyta              | -70600000     | -66000000    | <>
Archaeopone                              | Animal    | Arthropoda                 | -83500000     | -70600000    | <>
Archaeopus                               | Animal    | Arthropoda                 | -100500000    | -66000000    | <>
Archaeornithoides                        | Animal    | Chordata                   | -83500000     | -70600000    | Archaeornithoides
Archaeospongoprunum                      | Micro     | Radiolaria                 | -83500000     | -70600000    | <>
