Callistadia                              | Animal    | Mollusca                   | -254170000    | -252170000   | <>
Callitomaria                             | Animal    | Mollusca                   | -254170000    | -252170000   | <>
Calophyllum                              | Animal    | Cnidaria                   | -254170000    | -252170000   | Calophyllum
Calvezina                                | Micro     | Foraminifera               | -254170000    | -252170000   | <>
Camarophorinella                         | Animal    | Brachiopoda                | -254170000    | -252170000   | <>
Camerenteletes                           | Animal    | Brachiopoda                | -254170000    | -252170000   | <>
Camptonectes                             | Animal    | Mollusca                   | -2.599e+08    | -252170000   | <>
Cancrinella                              | Animal    | Brachiopoda                | -254170000    | -252170000   | <>
Caninia                                  | Animal    | Cnidaria                   | -298900000    | -252170000   | Caninia
Canoptum                                 | Micro     | Radiolaria                 | -295500000    | -174100000   | <>
Capillomesolobus                         | Animal    | Brachiopoda                | -254170000    | -252170000   | <>
Capillonia                               | Animal    | Brachiopoda                | -254170000    | -252170000   | <>
Capnodoce                                | Micro     | Radiolaria                 | -295500000    | -174100000   | <>
Capulus                                  | Animal    | Mollusca                   | -298900000    | -252170000   | Capulus
Carbonicola                              | Animal    | Mollusca                   | -298900000    | -252170000   | Carbonicola
Carcinophyllum                           | Animal    | Cnidaria                   | -298900000    | -252170000   | <>
Caricula                                 | Animal    | Brachiopoda                | -254170000    | -252170000   | <>
Carinaknightina                          | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Carinthiaphyllum                         | Animal    | Cnidaria                   | -298900000    | -252170000   | Carinthiaphyllum
Cartorhium                               | Animal    | Brachiopoda                | -254170000    | -252170000   | <>
Cassianoides                             | Animal    | Mollusca                   | -254170000    | -252170000   | <>
Cathaysia                                | Animal    | Brachiopoda                | -254170000    | -252170000   | Cathaysia
Caturus                                  | Animal    | Chordata                   | -254170000    | -252170000   | Caturus
Caucasoproductus                         | Animal    | Brachiopoda                | -254170000    | -252170000   | <>
Cauletella                               | Micro     | Radiolaria                 | -254170000    | -252170000   | <>
Caulopteris                              | Plant     | Pteridophyta               | -2.651e+08    | -252170000   | <>
Cavellina                                | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Cavusonella                              | Animal    | Porifera                   | -254170000    | -252170000   | <>
Cedripites                               | Plant     | Gymnospermophyta           | -298900000    | -252170000   | <>
Celtoides                                | Animal    | Mollusca                   | -2.599e+08    | -252170000   | <>
Celyphia                                 | Animal    | Porifera                   | -254170000    | -252170000   | <>
Cenosphaera                              | Micro     | Radiolaria                 | -254170000    | -252170000   | <>
Ceratobairdia                            | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Ceraunocochlis                           | Animal    | Mollusca                   | -254170000    | -252170000   | <>
Cerdosuchus                              | Animal    | Chordata                   | -2.599e+08    | -252170000   | <>
Cetollina                                | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Chaenomya                                | Animal    | Mollusca                   | -254170000    | -252170000   | <>
Chaetetes                                | Animal    | Porifera                   | -323200000    | -252170000   | Chaetetes
Chalcosaurus                             | Animal    | Chordata                   | -268000000    | -252300000   | <>
Chamishaella                             | Animal    | Arthropoda                 | -2.599e+08    | -252170000   | <>
Changhsingoceras                         | Animal    | Mollusca                   | -254170000    | -252170000   | <>
Changxingia                              | Animal    | Chordata                   | -254170000    | -252170000   | Changxingia
Changxingselache                         | Animal    | Chordata                   | -254170000    | -252170000   | <>
Chanoselytron                            | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Chansitheca                              | Plant     | Pteridophyta               | -254170000    | -252170000   | <>
Chaohochonetes                           | Animal    | Brachiopoda                | -254170000    | -252170000   | <>
Chaoiella                                | Animal    | Brachiopoda                | -298900000    | -252170000   | <>
Chaotianoceras                           | Animal    | Mollusca                   | -254170000    | -252170000   | <>
Characichnos                             | Animal    | Chordata                   | -2.599e+08    | -252170000   | <>
Chauliodites                             | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Chelichnus                               | Animal    | Chordata                   | -2.599e+08    | -252170000   | Chelichnus
Cheliderpeton                            | Animal    | Chordata                   | -298900000    | -254000000   | Cheliderpeton
Chelydosaurus                            | Animal    | Chordata                   | -298900000    | -254000000   | <>
Chenia                                   | Micro     | Foraminifera               | -254170000    | -252170000   | Chenia
Chenxianoproductus                       | Animal    | Brachiopoda                | -254170000    | -252170000   | <>
Chiropteris                              | Plant     | Cycadophyta                | -254170000    | -252170000   | Chiropteris
Chirotherium                             | Animal    | Chordata                   | -265000000    | -252300000   | Chirotherium
Chivatschella                            | Animal    | Brachiopoda                | -254170000    | -252170000   | <>
Chonetella                               | Animal    | Brachiopoda                | -254170000    | -252170000   | <>
Chonetes                                 | Animal    | Brachiopoda                | -254170000    | -252170000   | Chonetes
Chonetina                                | Animal    | Brachiopoda                | -2.599e+08    | -252170000   | <>
Chonetinella                             | Animal    | Brachiopoda                | -254170000    | -252170000   | <>
Chonopectella                            | Animal    | Brachiopoda                | -254170000    | -252170000   | <>
Chonopectoides                           | Animal    | Brachiopoda                | -254170000    | -252170000   | <>
Choristitella                            | Animal    | Brachiopoda                | -254170000    | -252170000   | <>
Choristites                              | Animal    | Brachiopoda                | -323200000    | -252170000   | <>
Choristotanyderus                        | Animal    | Arthropoda                 | -254170000    | -252170000   | Choristotanyderus
Chroniosaurus                            | Animal    | Chordata                   | -265000000    | -254000000   | Chroniosaurus
Chroniosuchus                            | Animal    | Chordata                   | -265000000    | -252300000   | Chroniosuchus
Chthonosaurus                            | Animal    | Chordata                   | -265000000    | -252300000   | Chthonosaurus
Chuanyanella                             | Animal    | Brachiopoda                | -254170000    | -252170000   | <>
Chusenella                               | Micro     | Foraminifera               | -2.651e+08    | -252170000   | <>
Cibecuia                                 | Animal    | Mollusca                   | -254170000    | -252170000   | <>
Cinclidonema                             | Animal    | Mollusca                   | -254170000    | -252170000   | <>
Cistecephalus                            | Animal    | Chordata                   | -298900000    | -252170000   | Cistecephalus
Cladochonus                              | Animal    | Cnidaria                   | -298900000    | -252170000   | Cladochonus
Cladochorista                            | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Cladophlebis                             | Plant     | Pteridophyta               | -254170000    | -252170000   | Cladophlebis
Claraia                                  | Animal    | Mollusca                   | -254170000    | -251300000   | Claraia
Claraioides                              | Animal    | Mollusca                   | -254170000    | -252170000   | <>
Clarkina                                 | Animal    | Chordata                   | -254170000    | -251300000   | Clarkina
Claudiosaurus                            | Animal    | Chordata                   | -2.599e+08    | -252170000   | Claudiosaurus
Clavatasporites                          | Plant     | Pteridophyta               | -298900000    | -252170000   | <>
Clavicosta                               | Animal    | Mollusca                   | -254170000    | -252170000   | <>
Clavinautilus                            | Animal    | Mollusca                   | -254170000    | -252170000   | <>
Clavopsyllidium                          | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Cleiothyridina                           | Animal    | Brachiopoda                | -254170000    | -252170000   | Cleiothyridina
Clelandina                               | Animal    | Chordata                   | -2.599e+08    | -252170000   | Clelandina
Climacammina                             | Micro     | Foraminifera               | -254170000    | -252170000   | <>
Clisiophyllum                            | Animal    | Cnidaria                   | -298900000    | -252170000   | <>
Codonofusiella                           | Micro     | Foraminifera               | -254170000    | -252170000   | <>
Coelocladia                              | Animal    | Porifera                   | -254170000    | -252170000   | <>
Coelogasteroceras                        | Animal    | Mollusca                   | -254170000    | -252170000   | <>
Coelonella                               | Animal    | Arthropoda                 | -254170000    | -252170000   | <>
Coelostylina                             | Animal    | Mollusca                   | -254170000    | -252170000   | <>
Coelurosauravus                          | Animal    | Chordata                   | -2.599e+08    | -252170000   | Coelurosauravus
Colaniella                               | Micro     | Foraminifera               | -254170000    | -252170000   | <>
Coledium                                 | Animal    | Brachiopoda                | -254170000    | -252170000   | <>
Collabrina                               | Animal    | Mollusca                   | -254170000    | -252170000   | <>
Collemataria                             | Animal    | Brachiopoda                | -254170000    | -252170000   | Collemataria
Colobodectes                             | Animal    | Chordata                   | -2.599e+08    | -252170000   | Colobodectes
Colospongia                              | Animal    | Porifera                   | -254170000    | -252170000   | <>
Comelicania                              | Animal    | Brachiopoda                | -254170000    | -252170000   | <>
Comelicothyris                           | Animal    | Brachiopoda                | -254170000    | -252170000   | <>
Comia                                    | Plant     | Pteridophyta               | -254170000    | -252170000   | <>
Composita                                | Animal    | Brachiopoda                | -254170000    | -252170000   | Composita
Compressoproductus                       | Animal    | Brachiopoda                | -254170000    | -252170000   | <>
Compsodon                                | Animal    | Chordata                   | -2.599e+08    | -252170000   | Compsodon
Comuquia                                 | Animal    | Brachiopoda                | -254170000    | -252170000   | <>
Concavisporites                          | Plant     | Pteridophyta               | -298900000    | -252170000   | <>
Coniopteris                              | Plant     | Pteridophyta               | -279300000    | -252170000   | Coniopteris
Conites                                  | Plant     | Cycadeoideophyta           | -2.599e+08    | -252170000   | <>
Conocardium                              | Animal    | Mollusca                   | -254170000    | -252170000   | Conocardium
Contraspina                              | Animal    | Brachiopoda                | -254170000    | -251300000   | <>
Converrucosisporites                     | Plant     | Pteridophyta               | -2.599e+08    | -252170000   | <>
Convolutispora                           | Plant     | Pteridophyta               | -272500000    | -252300000   | <>
